"","neighborhood","decade","percentage"
"1","black_belt","blackper_1920",0.384508481
"2","black_belt","blackper_1930",0.847474993
"3","black_belt","blackper_1940",0.896649228
"4","black_belt","blackper_1950",0.973947609
"5","black_belt","blackper_1960",0.970968176
"6","black_belt","blackper_1970",0.963124322
"7","black_belt","blackper_1980",0.962164696
"8","hyde_park","blackper_1920",0.022143273
"9","hyde_park","blackper_1930",0.011378248
"10","hyde_park","blackper_1940",0.012227355
"11","hyde_park","blackper_1950",0.028320577
"12","hyde_park","blackper_1960",0.351746442
"13","hyde_park","blackper_1970",0.27261329
"14","hyde_park","blackper_1980",0.332153055
"15","north_kenwood","blackper_1920",0.021935683
"16","north_kenwood","blackper_1930",0.025463805
"17","north_kenwood","blackper_1940",0.038611194
"18","north_kenwood","blackper_1950",0.409298901
"19","north_kenwood","blackper_1960",0.972198419
"20","north_kenwood","blackper_1970",0.981211544
"21","north_kenwood","blackper_1980",0.988157895
"22","north_woodlawn","blackper_1920",0.004294028
"23","north_woodlawn","blackper_1930",0.001112819
"24","north_woodlawn","blackper_1940",0.000391946
"25","north_woodlawn","blackper_1950",0.017348793
"26","north_woodlawn","blackper_1960",0.779233304
"27","north_woodlawn","blackper_1970",0.874833971
"28","north_woodlawn","blackper_1980",0.84500502
"29","other","blackper_1920",0.019345079
"30","other","blackper_1930",0.023674932
"31","other","blackper_1940",0.024470922
"32","other","blackper_1950",0.095397216
"33","other","blackper_1960",0.410695393
"34","other","blackper_1970",0.593770682
"35","other","blackper_1980",0.68537611
"36","south_kenwood","blackper_1920",0.013517319
"37","south_kenwood","blackper_1930",0.00903037
"38","south_kenwood","blackper_1940",0.010016541
"39","south_kenwood","blackper_1950",0.067655236
"40","south_kenwood","blackper_1960",0.644694104
"41","south_kenwood","blackper_1970",0.546954315
"42","south_kenwood","blackper_1980",0.641586438
"43","south_shore","blackper_1920",0.002657965
"44","south_shore","blackper_1930",0.002180498
"45","south_shore","blackper_1940",0.003194516
"46","south_shore","blackper_1950",0.002330374
"47","south_shore","blackper_1960",0.128752653
"48","south_shore","blackper_1970",0.707019116
"49","south_shore","blackper_1980",0.952867482
"50","south_woodlawn","blackper_1920",0.002420233
"51","south_woodlawn","blackper_1930",0.000853121
"52","south_woodlawn","blackper_1940",0.000559634
"53","south_woodlawn","blackper_1950",0.187319885
"54","south_woodlawn","blackper_1960",0.908718416
"55","south_woodlawn","blackper_1970",0.981658726
"56","south_woodlawn","blackper_1980",0.98499034
