id,neighborhood,decade,addr_share,black_per,census_decade
2,Black Belt,1915-1925,4.842342342,38.4508481,1920
3,Black Belt,1926-1935,5.217157456,84.7474993,1930
4,Black Belt,1936-1945,5.415045396,89.6649228,1940
5,Black Belt,1946-1955,2.3988006,97.3947609,1950
6,Black Belt,1956-1965,2.352139083,97.0968176,1960
7,Black Belt,1966-1975,2.732841213,96.3124322,1970
8,Black Belt,1976-1986,2.78830536,96.2164696,1980
10,Hyde Park,1915-1925,64.52702703,2.2143273,1920
11,Hyde Park,1926-1935,60.29312895,1.1378248,1930
12,Hyde Park,1936-1945,58.10635538,1.2227355,1940
13,Hyde Park,1946-1955,77.09145427,2.8320577,1950
14,Hyde Park,1956-1965,77.53536731,35.1746442,1960
15,Hyde Park,1966-1975,73.59824093,27.261329,1970
16,Hyde Park,1976-1986,77.28749323,33.2153055,1980
26,N. Woodlawn,1915-1925,19.07657658,0.4294028,1920
27,N. Woodlawn,1926-1935,11.56380261,0.1112819,1930
28,N. Woodlawn,1936-1945,12.06225681,0.0391946,1940
29,N. Woodlawn,1946-1955,10.52473763,1.7348793,1950
30,N. Woodlawn,1956-1965,6.30645986,77.9233304,1960
31,N. Woodlawn,1966-1975,5.575624313,87.4833971,1970
32,N. Woodlawn,1976-1986,3.43800758,84.500502,1980
42,S. Kenwood,1915-1925,2.117117117,1.3517319,1920
43,S. Kenwood,1926-1935,4.275917709,0.903037,1930
44,S. Kenwood,1936-1945,0.940337224,1.0016541,1940
45,S. Kenwood,1946-1955,2.428785607,6.7655236,1950
46,S. Kenwood,1956-1965,3.187318902,64.4694104,1960
47,S. Kenwood,1966-1975,4.69608921,54.6954315,1970
48,S. Kenwood,1976-1986,8.148348674,64.1586438,1980
50,South Shore,1915-1925,0.653153153,0.2657965,1920
51,South Shore,1926-1935,2.958182063,0.2180498,1930
52,South Shore,1936-1945,3.210116732,0.3194516,1940
53,South Shore,1946-1955,0.779610195,0.2330374,1950
54,South Shore,1956-1965,5.641724902,12.8752653,1960
55,South Shore,1966-1975,8.512643317,70.7019116,1970
56,South Shore,1976-1986,4.168922577,95.2867482,1980
58,S. Woodlawn,1915-1925,6.869369369,0.2420233,1920
59,S. Woodlawn,1926-1935,13.94379454,0.0853121,1930
60,S. Woodlawn,1936-1945,19.06614786,0.0559634,1940
61,S. Woodlawn,1946-1955,5.157421289,18.7319885,1950
62,S. Woodlawn,1956-1965,1.465825805,90.8718416,1960
63,S. Woodlawn,1966-1975,0.439767551,98.1658726,1970
64,S. Woodlawn,1976-1986,0.406063887,98.499034,1980
