"","neighborhood","decade","count"
"1","black_belt","1902-1914",549
"2","black_belt","1915-1925",214
"3","black_belt","1926-1935",382
"4","black_belt","1936-1945",163
"5","black_belt","1946-1955",80
"6","black_belt","1956-1965",109
"7","black_belt","1966-1975",173
"8","black_belt","1976-1986",206
"9","hyde_park","1902-1914",1811
"10","hyde_park","1915-1925",2870
"11","hyde_park","1926-1935",4501
"12","hyde_park","1936-1945",1792
"13","hyde_park","1946-1955",2575
"14","hyde_park","1956-1965",4549
"15","hyde_park","1966-1975",4686
"16","hyde_park","1976-1986",5710
"17","north_kenwood","1902-1914",29
"18","north_kenwood","1915-1925",36
"19","north_kenwood","1926-1935",51
"20","north_kenwood","1936-1945",5
"21","north_kenwood","1946-1955",12
"22","north_kenwood","1956-1965",42
"23","north_kenwood","1966-1975",34
"24","north_kenwood","1976-1986",40
"25","north_woodlawn","1902-1914",712
"26","north_woodlawn","1915-1925",843
"27","north_woodlawn","1926-1935",848
"28","north_woodlawn","1936-1945",376
"29","north_woodlawn","1946-1955",347
"30","north_woodlawn","1956-1965",399
"31","north_woodlawn","1966-1975",355
"32","north_woodlawn","1976-1986",254
"33","other","1902-1914",240
"34","other","1915-1925",49
"35","other","1926-1935",79
"36","other","1936-1945",32
"37","other","1946-1955",42
"38","other","1956-1965",164
"39","other","1966-1975",249
"40","other","1976-1986",238
"41","south_kenwood","1902-1914",47
"42","south_kenwood","1915-1925",94
"43","south_kenwood","1926-1935",318
"44","south_kenwood","1936-1945",29
"45","south_kenwood","1946-1955",81
"46","south_kenwood","1956-1965",187
"47","south_kenwood","1966-1975",299
"48","south_kenwood","1976-1986",602
"49","south_shore","1902-1914",31
"50","south_shore","1915-1925",29
"51","south_shore","1926-1935",222
"52","south_shore","1936-1945",99
"53","south_shore","1946-1955",26
"54","south_shore","1956-1965",331
"55","south_shore","1966-1975",543
"56","south_shore","1976-1986",308
"57","south_woodlawn","1902-1914",232
"58","south_woodlawn","1915-1925",305
"59","south_woodlawn","1926-1935",1036
"60","south_woodlawn","1936-1945",588
"61","south_woodlawn","1946-1955",172
"62","south_woodlawn","1956-1965",86
"63","south_woodlawn","1966-1975",28
"64","south_woodlawn","1976-1986",30
