"","year","neighborhood","count"
"1",1902,"black_belt",52
"2",1902,"hyde_park",41
"3",1902,"north_kenwood",0
"4",1902,"north_woodlawn",9
"5",1902,"other",21
"6",1902,"south_kenwood",3
"7",1902,"south_shore",0
"8",1902,"south_woodlawn",10
"9",1903,"black_belt",101
"10",1903,"hyde_park",235
"11",1903,"north_kenwood",3
"12",1903,"north_woodlawn",71
"13",1903,"other",71
"14",1903,"south_kenwood",4
"15",1903,"south_shore",1
"16",1903,"south_woodlawn",37
"17",1904,"black_belt",42
"18",1904,"hyde_park",95
"19",1904,"north_kenwood",0
"20",1904,"north_woodlawn",40
"21",1904,"other",22
"22",1904,"south_kenwood",1
"23",1904,"south_shore",0
"24",1904,"south_woodlawn",8
"25",1905,"black_belt",61
"26",1905,"hyde_park",197
"27",1905,"north_kenwood",2
"28",1905,"north_woodlawn",38
"29",1905,"other",2
"30",1905,"south_kenwood",3
"31",1905,"south_shore",0
"32",1905,"south_woodlawn",8
"33",1906,"black_belt",17
"34",1906,"hyde_park",130
"35",1906,"north_kenwood",1
"36",1906,"north_woodlawn",16
"37",1906,"other",64
"38",1906,"south_kenwood",0
"39",1906,"south_shore",0
"40",1906,"south_woodlawn",4
"41",1907,"black_belt",37
"42",1907,"hyde_park",83
"43",1907,"north_kenwood",0
"44",1907,"north_woodlawn",31
"45",1907,"other",3
"46",1907,"south_kenwood",0
"47",1907,"south_shore",1
"48",1907,"south_woodlawn",7
"49",1908,"black_belt",75
"50",1908,"hyde_park",63
"51",1908,"north_kenwood",7
"52",1908,"north_woodlawn",37
"53",1908,"other",24
"54",1908,"south_kenwood",7
"55",1908,"south_shore",0
"56",1908,"south_woodlawn",8
"57",1909,"black_belt",68
"58",1909,"hyde_park",137
"59",1909,"north_kenwood",0
"60",1909,"north_woodlawn",74
"61",1909,"other",0
"62",1909,"south_kenwood",1
"63",1909,"south_shore",0
"64",1909,"south_woodlawn",14
"65",1910,"black_belt",25
"66",1910,"hyde_park",180
"67",1910,"north_kenwood",4
"68",1910,"north_woodlawn",104
"69",1910,"other",6
"70",1910,"south_kenwood",3
"71",1910,"south_shore",0
"72",1910,"south_woodlawn",48
"73",1911,"black_belt",15
"74",1911,"hyde_park",105
"75",1911,"north_kenwood",1
"76",1911,"north_woodlawn",63
"77",1911,"other",18
"78",1911,"south_kenwood",0
"79",1911,"south_shore",0
"80",1911,"south_woodlawn",38
"81",1912,"black_belt",18
"82",1912,"hyde_park",132
"83",1912,"north_kenwood",1
"84",1912,"north_woodlawn",82
"85",1912,"other",9
"86",1912,"south_kenwood",1
"87",1912,"south_shore",0
"88",1912,"south_woodlawn",7
"89",1913,"black_belt",40
"90",1913,"hyde_park",154
"91",1913,"north_kenwood",3
"92",1913,"north_woodlawn",44
"93",1913,"other",0
"94",1913,"south_kenwood",13
"95",1913,"south_shore",23
"96",1913,"south_woodlawn",3
"97",1914,"black_belt",5
"98",1914,"hyde_park",259
"99",1914,"north_kenwood",7
"100",1914,"north_woodlawn",99
"101",1914,"other",1
"102",1914,"south_kenwood",11
"103",1914,"south_shore",2
"104",1914,"south_woodlawn",40
"105",1915,"black_belt",25
"106",1915,"hyde_park",300
"107",1915,"north_kenwood",4
"108",1915,"north_woodlawn",98
"109",1915,"other",1
"110",1915,"south_kenwood",3
"111",1915,"south_shore",1
"112",1915,"south_woodlawn",24
"113",1916,"black_belt",2
"114",1916,"hyde_park",289
"115",1916,"north_kenwood",0
"116",1916,"north_woodlawn",102
"117",1916,"other",3
"118",1916,"south_kenwood",2
"119",1916,"south_shore",6
"120",1916,"south_woodlawn",30
"121",1917,"black_belt",12
"122",1917,"hyde_park",327
"123",1917,"north_kenwood",3
"124",1917,"north_woodlawn",167
"125",1917,"other",2
"126",1917,"south_kenwood",8
"127",1917,"south_shore",0
"128",1917,"south_woodlawn",59
"129",1918,"black_belt",31
"130",1918,"hyde_park",194
"131",1918,"north_kenwood",4
"132",1918,"north_woodlawn",84
"133",1918,"other",3
"134",1918,"south_kenwood",13
"135",1918,"south_shore",3
"136",1918,"south_woodlawn",27
"137",1919,"black_belt",23
"138",1919,"hyde_park",222
"139",1919,"north_kenwood",0
"140",1919,"north_woodlawn",72
"141",1919,"other",2
"142",1919,"south_kenwood",12
"143",1919,"south_shore",1
"144",1919,"south_woodlawn",35
"145",1920,"black_belt",0
"146",1920,"hyde_park",109
"147",1920,"north_kenwood",0
"148",1920,"north_woodlawn",13
"149",1920,"other",4
"150",1920,"south_kenwood",12
"151",1920,"south_shore",1
"152",1920,"south_woodlawn",7
"153",1921,"black_belt",13
"154",1921,"hyde_park",113
"155",1921,"north_kenwood",5
"156",1921,"north_woodlawn",36
"157",1921,"other",12
"158",1921,"south_kenwood",1
"159",1921,"south_shore",0
"160",1921,"south_woodlawn",4
"161",1922,"black_belt",51
"162",1922,"hyde_park",245
"163",1922,"north_kenwood",1
"164",1922,"north_woodlawn",27
"165",1922,"other",1
"166",1922,"south_kenwood",6
"167",1922,"south_shore",1
"168",1922,"south_woodlawn",32
"169",1923,"black_belt",4
"170",1923,"hyde_park",300
"171",1923,"north_kenwood",5
"172",1923,"north_woodlawn",54
"173",1923,"other",1
"174",1923,"south_kenwood",20
"175",1923,"south_shore",1
"176",1923,"south_woodlawn",51
"177",1924,"black_belt",34
"178",1924,"hyde_park",312
"179",1924,"north_kenwood",8
"180",1924,"north_woodlawn",54
"181",1924,"other",2
"182",1924,"south_kenwood",7
"183",1924,"south_shore",11
"184",1924,"south_woodlawn",7
"185",1925,"black_belt",20
"186",1925,"hyde_park",454
"187",1925,"north_kenwood",6
"188",1925,"north_woodlawn",140
"189",1925,"other",18
"190",1925,"south_kenwood",10
"191",1925,"south_shore",4
