"","year","neighborhood","count"
"1",1902,"black_belt",52
"2",1902,"north_woodlawn",9
"3",1902,"south_kenwood",3
"4",1902,"south_shore",0.01
"5",1902,"south_woodlawn",10
"6",1903,"black_belt",101
"7",1903,"north_woodlawn",71
"8",1903,"south_kenwood",4
"9",1903,"south_shore",1
"10",1903,"south_woodlawn",37
"11",1904,"black_belt",42
"12",1904,"north_woodlawn",40
"13",1904,"south_kenwood",1
"14",1904,"south_shore",0.01
"15",1904,"south_woodlawn",8
"16",1905,"black_belt",61
"17",1905,"north_woodlawn",38
"18",1905,"south_kenwood",3
"19",1905,"south_shore",0.01
"20",1905,"south_woodlawn",8
"21",1906,"black_belt",17
"22",1906,"north_woodlawn",16
"23",1906,"south_kenwood",0.01
"24",1906,"south_shore",0.01
"25",1906,"south_woodlawn",4
"26",1907,"black_belt",37
"27",1907,"north_woodlawn",31
"28",1907,"south_kenwood",0.01
"29",1907,"south_shore",1
"30",1907,"south_woodlawn",7
"31",1908,"black_belt",75
"32",1908,"north_woodlawn",37
"33",1908,"south_kenwood",7
"34",1908,"south_shore",0.01
"35",1908,"south_woodlawn",8
"36",1909,"black_belt",68
"37",1909,"north_woodlawn",74
"38",1909,"south_kenwood",1
"39",1909,"south_shore",0.01
"40",1909,"south_woodlawn",14
"41",1910,"black_belt",25
"42",1910,"north_woodlawn",104
"43",1910,"south_kenwood",3
"44",1910,"south_shore",0.01
"45",1910,"south_woodlawn",48
"46",1911,"black_belt",15
"47",1911,"north_woodlawn",63
"48",1911,"south_kenwood",0.01
"49",1911,"south_shore",0.01
"50",1911,"south_woodlawn",38
"51",1912,"black_belt",18
"52",1912,"north_woodlawn",82
"53",1912,"south_kenwood",1
"54",1912,"south_shore",0.01
"55",1912,"south_woodlawn",7
"56",1913,"black_belt",40
"57",1913,"north_woodlawn",44
"58",1913,"south_kenwood",13
"59",1913,"south_shore",23
"60",1913,"south_woodlawn",3
"61",1914,"black_belt",5
"62",1914,"north_woodlawn",99
"63",1914,"south_kenwood",11
"64",1914,"south_shore",2
"65",1914,"south_woodlawn",40
"66",1915,"black_belt",25
"67",1915,"north_woodlawn",98
"68",1915,"south_kenwood",3
"69",1915,"south_shore",1
"70",1915,"south_woodlawn",24
"71",1916,"black_belt",2
"72",1916,"north_woodlawn",102
"73",1916,"south_kenwood",2
"74",1916,"south_shore",6
"75",1916,"south_woodlawn",30
"76",1917,"black_belt",12
"77",1917,"north_woodlawn",167
