id,year,neighborhood,percentage
1,1902,hyde_park,35.65217391
2,1902,black_belt,45.21739131
3,1902,south_woodlawn,8.695652174
4,1902,north_woodlawn,7.826086957
5,1902,south_kenwood,2.608695652
6,1902,south_shore,0
7,1903,hyde_park,52.33853007
8,1903,black_belt,22.49443207
9,1903,south_woodlawn,8.240534522
10,1903,north_woodlawn,15.81291759
11,1903,south_kenwood,0.890868597
12,1903,south_shore,0.222717149
13,1904,hyde_park,51.07526882
14,1904,black_belt,22.58064516
15,1904,south_woodlawn,4.301075269
16,1904,north_woodlawn,21.50537634
17,1904,south_kenwood,0.537634409
18,1904,south_shore,0
19,1905,hyde_park,64.16938111
20,1905,black_belt,19.86970684
21,1905,south_woodlawn,2.605863192
22,1905,north_woodlawn,12.37785016
23,1905,south_kenwood,0.977198697
24,1905,south_shore,0
25,1906,hyde_park,77.84431138
26,1906,black_belt,10.17964072
27,1906,south_woodlawn,2.395209581
28,1906,north_woodlawn,9.580838323
29,1906,south_kenwood,0
30,1906,south_shore,0
31,1907,hyde_park,52.20125786
32,1907,black_belt,23.27044025
33,1907,south_woodlawn,4.402515723
34,1907,north_woodlawn,19.49685535
35,1907,south_kenwood,0
36,1907,south_shore,0.628930818
37,1908,hyde_park,33.15789474
38,1908,black_belt,39.47368421
39,1908,south_woodlawn,4.210526316
40,1908,north_woodlawn,19.47368421
41,1908,south_kenwood,3.684210526
42,1908,south_shore,0
43,1909,hyde_park,46.59863946
44,1909,black_belt,23.1292517
45,1909,south_woodlawn,4.761904762
46,1909,north_woodlawn,25.17006803
47,1909,south_kenwood,0.340136054
48,1909,south_shore,0
49,1910,hyde_park,50
50,1910,black_belt,6.944444445
51,1910,south_woodlawn,13.33333333
52,1910,north_woodlawn,28.88888889
53,1910,south_kenwood,0.833333334
54,1910,south_shore,0
55,1911,hyde_park,47.51131222
56,1911,black_belt,6.787330317
57,1911,south_woodlawn,17.19457013
58,1911,north_woodlawn,28.50678733
59,1911,south_kenwood,0
60,1911,south_shore,0
61,1912,hyde_park,55
62,1912,black_belt,7.5
63,1912,south_woodlawn,2.916666667
64,1912,north_woodlawn,34.16666667
65,1912,south_kenwood,0.416666667
66,1912,south_shore,0
67,1913,hyde_park,55.59566787
68,1913,black_belt,14.44043322
69,1913,south_woodlawn,1.083032491
70,1913,north_woodlawn,15.88447653
71,1913,south_kenwood,4.693140794
72,1913,south_shore,8.303249097
73,1914,hyde_park,62.25961539
74,1914,black_belt,1.201923077
75,1914,south_woodlawn,9.615384616
76,1914,north_woodlawn,23.79807692
77,1914,south_kenwood,2.64423077
78,1914,south_shore,0.480769231
79,1915,hyde_park,66.51884701
80,1915,black_belt,5.54323725
81,1915,south_woodlawn,5.321507761
82,1915,north_woodlawn,21.72949002
83,1915,south_kenwood,0.66518847
84,1915,south_shore,0.22172949
85,1916,hyde_park,67.05336427
86,1916,black_belt,0.464037123
87,1916,south_woodlawn,6.960556844
88,1916,north_woodlawn,23.66589327
89,1916,south_kenwood,0.464037123
90,1916,south_shore,1.392111369
91,1917,hyde_park,57.06806283
92,1917,black_belt,2.094240837
93,1917,south_woodlawn,10.29668412
94,1917,north_woodlawn,29.14485166
95,1917,south_kenwood,1.396160559
96,1917,south_shore,0
97,1918,hyde_park,55.11363636
98,1918,black_belt,8.806818182
99,1918,south_woodlawn,7.670454546
100,1918,north_woodlawn,23.86363636
101,1918,south_kenwood,3.693181818
102,1918,south_shore,0.852272727
103,1919,hyde_park,60.82191781
104,1919,black_belt,6.301369863
105,1919,south_woodlawn,9.589041095
106,1919,north_woodlawn,19.7260274
107,1919,south_kenwood,3.287671232
108,1919,south_shore,0.273972603
109,1920,hyde_park,76.76056338
110,1920,black_belt,0
111,1920,south_woodlawn,4.929577465
112,1920,north_woodlawn,9.154929577
113,1920,south_kenwood,8.450704225
114,1920,south_shore,0.704225352
115,1921,hyde_park,67.66467066
116,1921,black_belt,7.784431137
117,1921,south_woodlawn,2.39520958
118,1921,north_woodlawn,21.55688623
119,1921,south_kenwood,0.598802395
120,1921,south_shore,0
121,1922,hyde_park,67.67955801
122,1922,black_belt,14.08839779
123,1922,south_woodlawn,8.839779005
124,1922,north_woodlawn,7.458563536
125,1922,south_kenwood,1.657458563
126,1922,south_shore,0.276243094
127,1923,hyde_park,69.76744186
128,1923,black_belt,0.930232558
129,1923,south_woodlawn,11.86046512
130,1923,north_woodlawn,12.55813953
131,1923,south_kenwood,4.65116279
132,1923,south_shore,0.232558139
133,1924,hyde_park,73.41176471
134,1924,black_belt,8
135,1924,south_woodlawn,1.647058823
136,1924,north_woodlawn,12.70588235
137,1924,south_kenwood,1.647058823
138,1924,south_shore,2.588235294
139,1925,hyde_park,69.10197869
140,1925,black_belt,3.04414003
141,1925,south_woodlawn,4.414003043
142,1925,north_woodlawn,21.30898022
143,1925,south_kenwood,1.522070015
144,1925,south_shore,0.608828006
145,1926,hyde_park,64.81092436
146,1926,black_belt,2.415966387
147,1926,south_woodlawn,7.56302521
148,1926,north_woodlawn,18.59243698
149,1926,south_kenwood,5.672268907
150,1926,south_shore,0.945378152
151,1927,hyde_park,67.78210117
152,1927,black_belt,2.957198443
153,1927,south_woodlawn,9.027237354
154,1927,north_woodlawn,12.29571984
155,1927,south_kenwood,4.202334631
156,1927,south_shore,3.73540856
157,1928,hyde_park,74.68354431
158,1928,black_belt,1.392405064
159,1928,south_woodlawn,10.37974683
160,1928,north_woodlawn,8.227848102
161,1928,south_kenwood,2.405063291
162,1928,south_shore,2.911392405
163,1929,hyde_park,62.10191083
164,1929,black_belt,7.324840765
165,1929,south_woodlawn,14.17197452
166,1929,north_woodlawn,11.46496815
167,1929,south_kenwood,2.547770701
168,1929,south_shore,2.388535032
169,1930,hyde_park,49.15966387
170,1930,black_belt,5.042016807
171,1930,south_woodlawn,20.58823529
172,1930,north_woodlawn,16.80672269
173,1930,south_kenwood,5.25210084
174,1930,south_shore,3.151260505
175,1931,hyde_park,59.84496124
176,1931,black_belt,3.875968992
177,1931,south_woodlawn,16.12403101
178,1931,north_woodlawn,8.527131783
179,1931,south_kenwood,7.441860465
180,1931,south_shore,4.186046512
181,1932,hyde_park,54.80059085
182,1932,black_belt,7.828655834
183,1932,south_woodlawn,22.89512555
184,1932,north_woodlawn,9.453471197
185,1932,south_kenwood,3.545051699
186,1932,south_shore,1.477104875
187,1933,hyde_park,65.78538103
188,1933,black_belt,11.35303266
189,1933,south_woodlawn,12.59720062
190,1933,north_woodlawn,6.220839813
191,1933,south_kenwood,2.02177294
192,1933,south_shore,2.02177294
193,1934,hyde_park,52.4291498
194,1934,black_belt,7.085020243
195,1934,south_woodlawn,22.46963562
196,1934,north_woodlawn,9.311740891
197,1934,south_kenwood,4.858299595
198,1934,south_shore,3.846153846
199,1935,hyde_park,47.83821478
200,1935,black_belt,8.368200837
201,1935,south_woodlawn,17.9916318
202,1935,north_woodlawn,14.36541143
