id,year,hyde_park,black_belt,south_woodlawn,north_woodlawn,south_kenwood,south_shore
1,1902,35.65217391,45.21739131,8.695652174,7.826086957,2.608695652,0
2,1903,52.33853007,22.49443207,8.240534522,15.81291759,0.890868597,0.222717149
3,1904,51.07526882,22.58064516,4.301075269,21.50537634,0.537634409,0
4,1905,64.16938111,19.86970684,2.605863192,12.37785016,0.977198697,0
5,1906,77.84431138,10.17964072,2.395209581,9.580838323,0,0
6,1907,52.20125786,23.27044025,4.402515723,19.49685535,0,0.628930818
7,1908,33.15789474,39.47368421,4.210526316,19.47368421,3.684210526,0
8,1909,46.59863946,23.1292517,4.761904762,25.17006803,0.340136054,0
9,1910,50,6.944444445,13.33333333,28.88888889,0.833333334,0
10,1911,47.51131222,6.787330317,17.19457013,28.50678733,0,0
11,1912,55,7.5,2.916666667,34.16666667,0.416666667,0
12,1913,55.59566787,14.44043322,1.083032491,15.88447653,4.693140794,8.303249097
13,1914,62.25961539,1.201923077,9.615384616,23.79807692,2.64423077,0.480769231
14,1915,66.51884701,5.54323725,5.321507761,21.72949002,0.66518847,0.22172949
15,1916,67.05336427,0.464037123,6.960556844,23.66589327,0.464037123,1.392111369
16,1917,57.06806283,2.094240837,10.29668412,29.14485166,1.396160559,0
17,1918,55.11363636,8.806818182,7.670454546,23.86363636,3.693181818,0.852272727
18,1919,60.82191781,6.301369863,9.589041095,19.7260274,3.287671232,0.273972603
19,1920,76.76056338,0,4.929577465,9.154929577,8.450704225,0.704225352
20,1921,67.66467066,7.784431137,2.39520958,21.55688623,0.598802395,0
21,1922,67.67955801,14.08839779,8.839779005,7.458563536,1.657458563,0.276243094
22,1923,69.76744186,0.930232558,11.86046512,12.55813953,4.65116279,0.232558139
23,1924,73.41176471,8,1.647058823,12.70588235,1.647058823,2.588235294
24,1925,69.10197869,3.04414003,4.414003043,21.30898022,1.522070015,0.608828006
25,1926,64.81092436,2.415966387,7.56302521,18.59243698,5.672268907,0.945378152
26,1927,67.78210117,2.957198443,9.027237354,12.29571984,4.202334631,3.73540856
27,1928,74.68354431,1.392405064,10.37974683,8.227848102,2.405063291,2.911392405
28,1929,62.10191083,7.324840765,14.17197452,11.46496815,2.547770701,2.388535032
29,1930,49.15966387,5.042016807,20.58823529,16.80672269,5.25210084,3.151260505
30,1931,59.84496124,3.875968992,16.12403101,8.527131783,7.441860465,4.186046512
31,1932,54.80059085,7.828655834,22.89512555,9.453471197,3.545051699,1.477104875
32,1933,65.78538103,11.35303266,12.59720062,6.220839813,2.02177294,2.02177294
33,1934,52.4291498,7.085020243,22.46963562,9.311740891,4.858299595,3.846153846
34,1935,47.83821478,8.368200837,17.9916318,14.36541143,5.718270572,5.718270572
35,1936,66.66666667,8.552631579,14.25438596,7.01754386,2.631578947,0.877192982
36,1937,59.55882353,4.166666667,20.83333333,12.5,0.735294118,2.205882353
37,1938,55.98194131,2.257336343,13.09255079,24.60496614,0.225733635,3.837471783
38,1939,47.62886598,8.659793815,22.47422681,13.81443299,0.824742268,6.597938145
39,1940,52.86041189,10.06864989,21.96796339,12.58581236,0.228832952,2.288329519
40,1941,55.41795666,2.786377709,33.12693498,6.811145511,0,1.857585139
41,1942,71.67630058,0.578034682,19.07514451,3.468208092,1.734104046,3.468208092
42,1943,72.72727273,3.030303031,9.090909092,13.63636364,1.515151515,0
43,1944,68.84057971,0.724637681,12.31884058,10.86956522,2.898550725,4.347826087
44,1945,75.42372881,1.694915254,10.16949153,5.084745763,0,7.627118644
45,1946,82.68156425,2.793296089,4.469273743,3.910614525,6.145251396,0
46,1947,75.71428572,2.380952381,7.142857144,11.9047619,2.857142857,0
47,1948,72.32375979,2.349869452,7.571801566,14.36031331,2.610966058,0.783289817
48,1949,78.125,1.388888889,4.861111112,13.19444444,1.388888889,1.041666667
49,1950,77.60736196,2.147239264,7.36196319,11.65644172,0.306748467,0.920245399
50,1951,71.3362069,3.232758621,5.818965517,16.37931034,2.370689655,0.862068965
51,1952,75.12437811,1.492537313,7.960199005,13.43283582,1.990049751,0
52,1953,88.05031447,3.773584905,1.257861635,5.34591195,0.943396226,0.628930818
53,1954,79.25,4.5,4,11,0.75,0.5
54,1955,83.984375,0.390625,3.7109375,4.687500001,5.46875,1.7578125
55,1956,83.97887324,1.056338028,5.281690141,5.105633803,2.288732394,2.288732394
56,1957,83.70221328,1.408450704,2.615694165,4.024144869,5.835010061,2.414486921
57,1958,81.08614232,0.936329588,2.808988764,7.677902622,6.179775281,1.310861423
58,1959,83.21377331,0.717360115,0.143472023,5.595408895,2.86944046,7.460545194
59,1960,78,3.111111111,0.222222222,6.888888889,2.222222222,9.555555556
