id,neighborhood,decade,percentage,rel_initial,rel_average
1,black_belt,1902-1914,15.22870446,0,229.0239168
2,black_belt,1915-1925,4.842342342,-68.20253257,4.621272772
3,black_belt,1926-1935,5.217157456,-65.7412916,12.71934422
4,black_belt,1936-1945,5.415045396,-64.44185119,16.99481395
5,black_belt,1946-1955,2.3988006,-84.24816369,-48.17269121
6,black_belt,1956-1965,2.352139083,-84.55456872,-49.18083704
7,black_belt,1966-1975,2.732841213,-82.05467038,-40.95557362
8,black_belt,1976-1986,2.78830536,-81.69046246,-39.75724246
9,hyde_park,1902-1914,49.60284853,0,-27.56987457
10,hyde_park,1915-1925,64.52702703,30.08734162,-5.777575291
11,hyde_park,1926-1935,60.29312895,21.55174699,-11.95991719
12,hyde_park,1936-1945,58.10635538,17.1431825,-15.15304598
13,hyde_park,1946-1955,77.09145427,55.41739346,12.56901303
14,hyde_park,1956-1965,77.53536731,56.31232802,13.21721525
15,hyde_park,1966-1975,73.59824093,48.37502906,7.468219663
16,hyde_park,1976-1986,77.28749323,55.8126106,12.8552693
17,north_kenwood,1902-1914,0.794302931,0,32.60392972
18,north_kenwood,1915-1925,0.810810811,2.078285182,35.35981754
19,north_kenwood,1926-1935,0.685760387,-13.66513194,14.48342777
20,north_kenwood,1936-1945,0.162127108,-79.58875621,-72.93388862
21,north_kenwood,1946-1955,0.35982009,-54.69989143,-39.93027587
22,north_kenwood,1956-1965,0.715868417,-9.874634866,19.50977584
23,north_kenwood,1966-1975,0.534003455,-32.77080637,-10.85144732
24,north_kenwood,1976-1986,0.541418517,-31.83727573,-9.613549015
25,north_woodlawn,1902-1914,19.39194741,0,95.79884915
26,north_woodlawn,1915-1925,19.07657658,-1.626297908,92.61457657
27,north_woodlawn,1926-1935,11.56380261,-40.3680179,16.75873467
28,north_woodlawn,1936-1945,12.06225681,-37.79759942,21.79158448
29,north_woodlawn,1946-1955,10.52473763,-45.72624705,6.267383677
30,north_woodlawn,1956-1965,6.30645986,-67.47897606,-36.32420939
31,north_woodlawn,1966-1975,5.575624313,-71.24773395,-43.70339396
32,north_woodlawn,1976-1986,3.43800758,-82.27095244,-65.28672891
33,other,1902-1914,6.600931252,0,150.8172863
34,other,1915-1925,1.103603604,-83.2810923,-58.06608939
35,other,1926-1935,1.062256286,-83.90747842,-59.63717407
36,other,1936-1945,1.037613489,-84.28080146,-60.57353279
37,other,1946-1955,1.259370315,-80.92132357,-52.14738152
38,other,1956-1965,2.795295722,-57.65300962,6.213572094
39,other,1966-1975,3.910790011,-40.75396544,48.59929614
40,other,1976-1986,3.221440173,-51.19718642,22.40589266
41,south_kenwood,1902-1914,1.287318543,0,-67.70516324
42,south_kenwood,1915-1925,2.117117117,64.45945946,-46.88808603
43,south_kenwood,1926-1935,4.275917709,232.1569267,7.269537257
44,south_kenwood,1936-1945,0.940337224,-26.95380412,-76.40985028
45,south_kenwood,1946-1955,2.428785607,88.67013302,-39.06928853
46,south_kenwood,1956-1965,3.187318902,147.5936449,-20.04003654
47,south_kenwood,1966-1975,4.69608921,264.7962065,17.81033939
48,south_kenwood,1976-1986,8.148348674,532.9706597,104.4168413
49,south_shore,1902-1914,0.739523418,0,-80.56811064
50,south_shore,1915-1925,0.653153153,-11.67917918,-82.83759581
51,south_shore,1926-1935,2.958182063,300.0119523,-22.27012
52,south_shore,1936-1945,3.210116732,334.079118,-15.65022603
53,south_shore,1946-1955,0.779610195,5.420623022,-79.51478117
54,south_shore,1956-1965,5.641724902,662.8865784,48.24327589
55,south_shore,1966-1975,8.512643317,1051.098546,123.680196
56,south_shore,1976-1986,4.168922577,463.7309752,9.543579402
57,south_woodlawn,1902-1914,6.354423446,0,6.596863694
58,south_woodlawn,1915-1925,6.869369369,8.103739515,15.23519586
59,south_woodlawn,1926-1935,13.94379454,119.4344563,133.9102483
60,south_woodlawn,1936-1945,19.06614786,200.0452838,219.8388622
61,south_woodlawn,1946-1955,5.157421289,-18.83730549,-13.48311316
62,south_woodlawn,1956-1965,1.465825805,-76.93219821,-75.41044677
63,south_woodlawn,1966-1975,0.439767551,-93.07934771,-92.62280172
64,south_woodlawn,1976-1986,0.406063887,-93.6097446,-93.18818816
