id,year,neighborhood,percentage,rel_initial,rel_average
2,1902,black_belt,45.21739131,101.0159277,876.9447709
8,1903,black_belt,22.49443207,0,386.0036625
14,1904,black_belt,22.58064516,0.383264133,387.8663402
20,1905,black_belt,19.86970684,-11.66833295,329.295137
26,1906,black_belt,10.17964072,-54.74595363,119.9363228
32,1907,black_belt,23.27044025,3.449778939,402.7697145
38,1908,black_belt,39.47368421,75.48202189,752.8490534
44,1909,black_belt,23.1292517,2.822118949,399.719264
50,1910,black_belt,6.944444445,-69.12816281,50.03825941
56,1911,black_belt,6.787330317,-69.82662067,46.64372865
62,1912,black_belt,7.5,-66.65841584,62.04132015
68,1913,black_belt,14.44043322,-35.80441073,211.992915
74,1914,black_belt,1.201923077,-94.65679741,-74.03183972
80,1915,black_belt,5.54323725,-75.35729183,19.76446426
86,1916,black_belt,0.464037123,-97.93710229,-89.9742416
92,1917,black_belt,2.094240837,-90.68995905,-54.75286001
98,1918,black_belt,8.806818182,-60.84889739,90.27579261
104,1919,black_belt,6.301369863,-71.98697952,36.14430552
110,1920,black_belt,0,-100,-100
116,1921,black_belt,7.784431137,-65.39396455,68.18659975
122,1922,black_belt,14.08839779,-37.36939992,204.3870102
128,1923,black_belt,0.930232558,-95.86460972,-79.90185177
134,1924,black_belt,8,-64.43564356,72.84407483
140,1925,black_belt,3.04414003,-86.46713987,-34.22980411
146,1926,black_belt,2.415966387,-89.25971378,-47.80181563
152,1927,black_belt,2.957198443,-86.85364256,-36.10822138
158,1928,black_belt,1.392405064,-93.81000125,-69.91637937
164,1929,black_belt,7.324840765,-67.43709402,58.25691566
170,1930,black_belt,5.042016807,-77.58548964,8.935341286
176,1931,black_belt,3.875968992,-82.76920715,-16.25771569
182,1932,black_belt,7.828655834,-65.19736169,69.14209685
188,1933,black_belt,11.35303266,-49.52958748,145.2880533
194,1934,black_belt,7.085020243,-68.50322684,53.07547113
200,1935,black_belt,8.368200837,-62.79879034,80.79924146
206,1936,black_belt,8.552631579,-61.97889526,84.78396158
212,1937,black_belt,4.166666667,-81.47689769,-9.977044352
218,1938,black_belt,2.257336343,-89.96491071,-51.22909853
224,1939,black_belt,8.659793815,-61.50250076,87.09925627
230,1940,black_belt,10.06864989,-55.23936831,117.5383094
236,1941,black_belt,2.786377709,-87.61303375,-39.79889034
242,1942,black_belt,0.578034682,-97.43032107,-87.51126627
248,1943,black_belt,3.030303031,-86.52865286,-34.52875952
254,1944,black_belt,0.724637681,-96.7785909,-84.3438338
260,1945,black_belt,1.694915254,-92.46517872,-63.38049263
266,1946,black_belt,2.793296089,-87.58227778,-39.64941522
272,1947,black_belt,2.380952381,-89.41537011,-48.55831106
278,1948,black_belt,2.349869452,-89.55355065,-49.22987357
284,1949,black_belt,1.388888889,-93.82563256,-69.99234812
290,1950,black_belt,2.147239264,-90.45435218,-53.607802
296,1951,black_belt,3.232758621,-85.62862752,-30.15460338
302,1952,black_belt,1.492537313,-93.36485888,-67.75297112
308,1953,black_belt,3.773584905,-83.22436017,-18.46977604
314,1954,black_belt,4.5,-79.9950495,-2.775207907
320,1955,black_belt,0.390625,-98.26345916,-91.56034791
326,1956,black_belt,1.056338028,-95.30400223,-77.17727886
332,1957,black_belt,1.408450704,-93.73866964,-69.56970514
338,1958,black_belt,0.936329588,-95.8375051,-79.77012233
344,1959,black_belt,0.717360115,-96.81094365,-84.50106933
350,1960,black_belt,3.111111111,-86.16941694,-32.78285979
356,1961,black_belt,3.051643192,-86.43378422,-34.06769447
362,1962,black_belt,4.269293924,-81.02066364,-7.75973019
368,1963,black_belt,1.524390244,-93.22325525,-67.06477232
374,1964,black_belt,3.015075377,-86.59634808,-34.85776074
380,1965,black_belt,5.422647528,-75.89337881,17.15906189
386,1966,black_belt,1.842546063,-91.80887938,-60.1908538
392,1967,black_belt,4.449152543,-80.22109414,-3.873793115
398,1968,black_belt,5.865102639,-73.9264249,26.71852993
404,1969,black_belt,2.319236016,-89.68973296,-49.89172456
410,1970,black_belt,1.478494624,-93.42728628,-68.05637057
416,1971,black_belt,3.221288516,-85.67961838,-30.40242084
422,1973,black_belt,2.096436059,-90.68020009,-54.70543112
428,1974,black_belt,2.352941176,-89.53989517,-49.16350741
434,1975,black_belt,2.721893491,-87.89970121,-41.19210472
440,1976,black_belt,1.681957187,-92.52278439,-63.66045826
446,1977,black_belt,2.73556231,-87.83893587,-40.89678292
452,1978,black_belt,0.919117647,-95.91402155,-80.14199508
458,1979,black_belt,2.886597938,-87.16750026,-37.63358125
464,1980,black_belt,6.06060606,-73.05730573,30.94248092
470,1981,black_belt,4.623287671,-79.44696867,-0.111514978
476,1982,black_belt,2.827225131,-87.43144471,-38.91636099
482,1983,black_belt,2.578796561,-88.53584499,-44.28378678
488,1984,black_belt,2.590673575,-88.4830452,-44.02717784
494,1985,black_belt,4.737732657,-78.93819839,2.361127237
500,1986,black_belt,1.499423299,-93.33424692,-67.60419589
1,1902,hyde_park,35.65217391,-31.88159113,-47.94066259
7,1903,hyde_park,52.33853007,0,-23.57522985
13,1904,hyde_park,51.07526882,-2.413635324,-25.4198451
19,1905,hyde_park,64.16938111,22.60447709,-6.299810191
25,1906,hyde_park,77.84431138,48.73232259,13.66833567
31,1907,hyde_park,52.20125786,-0.262277542,-23.77567486
37,1908,hyde_park,33.15789474,-36.64725644,-51.58281135
43,1909,hyde_park,46.59863946,-10.96685482,-31.95662344
49,1910,hyde_park,50,-4.468085112,-26.98995363
55,1911,hyde_park,47.51131222,-9.223067296,-30.62393783
61,1912,hyde_park,55,5.085106377,-19.68894899
67,1913,hyde_park,55.59566787,6.223212222,-18.81915422
73,1914,hyde_park,62.25961539,18.95560557,-9.088451866
79,1915,hyde_park,66.51884701,27.09345662,-2.869117904
85,1916,hyde_park,67.05336427,28.11472577,-2.088615306
91,1917,hyde_park,57.06806283,9.036426422,-16.66916173
97,1918,hyde_park,55.11363636,5.302224358,-19.52301707
103,1919,hyde_park,60.82191781,16.20868551,-11.18777921
109,1920,hyde_park,76.76056338,46.66167215,12.08584584
115,1921,hyde_park,67.66467066,29.28271117,-1.195985148
121,1922,hyde_park,67.67955801,29.31115551,-1.174246626
127,1923,hyde_park,69.76744186,33.30034635,1.874483308
133,1924,hyde_park,73.41176471,40.26332916,7.195926914
139,1925,hyde_park,69.10197869,32.02888694,0.90277337
145,1926,hyde_park,64.81092436,23.8302342,-5.363028142
151,1927,hyde_park,67.78210117,29.5070784,-1.024513008
157,1928,hyde_park,74.68354431,42.69323997,9.052980665
163,1929,hyde_park,62.10191083,18.6542892,-9.318732211
169,1930,hyde_park,49.15966387,-6.073663505,-28.21701322
175,1931,hyde_park,59.84496124,14.34207487,-12.6143321
181,1932,hyde_park,54.80059085,4.704107618,-19.98012642
187,1933,hyde_park,65.78538103,25.69206843,-3.940125609
193,1934,hyde_park,52.4291498,0.173141527,-23.44290684
199,1935,hyde_park,47.83821478,-8.598474745,-30.14659441
205,1936,hyde_park,66.66666667,27.37588652,-2.6532715
211,1937,hyde_park,59.55882353,13.79536921,-13.03215064
217,1938,hyde_park,55.98194131,6.96124105,-18.25511738
223,1939,hyde_park,47.62886598,-8.99846458,-30.45228572
229,1940,hyde_park,52.86041189,0.997127392,-22.81317753
235,1941,hyde_park,55.41795666,5.883670378,-19.07864829
241,1942,hyde_park,71.67630058,36.94748493,4.661800582
247,1943,hyde_park,72.72727273,38.95551257,6.19643109
253,1944,hyde_park,68.84057971,31.52944803,0.521078337
259,1945,hyde_park,75.42372881,44.10746482,10.13379876
265,1946,hyde_park,82.68156425,57.97456317,20.7316968
271,1947,hyde_park,75.71428572,44.66261398,10.55807023
277,1948,hyde_park,72.32375979,38.18454529,5.607221121
283,1949,hyde_park,78.125,49.26861701,14.07819746
289,1950,hyde_park,77.60736196,48.27959795,13.32234191
295,1951,hyde_park,71.3362069,36.29768892,4.165195475
301,1952,hyde_park,75.12437811,43.53551391,9.696686589
307,1953,hyde_park,88.05031447,68.23230296,28.57115085
313,1954,hyde_park,79.25,51.4180851,15.7209235
319,1955,hyde_park,83.984375,60.46376329,22.63406226
325,1956,hyde_park,83.97887324,60.45325141,22.62602859
331,1957,hyde_park,83.70221328,59.9246543,22.22204946
337,1958,hyde_park,81.08614232,54.92628893,18.40206022
343,1959,hyde_park,83.21377331,58.99142219,21.50882896
349,1960,hyde_park,78,49.02978722,13.89567234
355,1961,hyde_park,71.36150235,36.34601938,4.202131914
361,1962,hyde_park,76.19047619,45.57244173,11.25340399
367,1963,hyde_park,79.57317073,52.03554747,16.1928177
373,1964,hyde_park,79.89949749,52.65903988,16.66932034
379,1965,hyde_park,83.73205742,59.98167566,22.2656279
385,1966,hyde_park,82.07705193,56.81955878,19.84898735
391,1967,hyde_park,74.57627119,42.48827984,8.896340356
397,1968,hyde_park,70.96774194,35.59368566,3.627162598
403,1969,hyde_park,77.08049113,47.27293836,12.55300463
409,1970,hyde_park,80.9139785,54.59734615,18.15066645
415,1971,hyde_park,74.92997199,43.16407413,9.412814592
421,1973,hyde_park,76.51991614,46.20188232,11.73445251
427,1974,hyde_park,75.88235294,44.98372965,10.80348214
433,1975,hyde_park,78.93491124,50.81606445,15.2608306
439,1976,hyde_park,79.51070336,51.91619492,16.10160279
445,1977,hyde_park,71.27659574,36.18379355,4.078151204
451,1978,hyde_park,78.67647059,50.32227784,14.88345532
457,1979,hyde_park,80.41237114,53.63895591,17.41821892
463,1980,hyde_park,80,52.85106382,16.81607419
469,1981,hyde_park,85.2739726,62.92771785,24.51713388
475,1982,hyde_park,87.53926702,67.25587613,27.82491889
481,1983,hyde_park,83.38108883,59.31110163,21.75314324
487,1984,hyde_park,82.55613126,57.7349061,20.54853943
493,1985,hyde_park,76.31133672,45.80336249,11.42988465
499,1986,hyde_park,76.35524798,45.88726103,11.49400391
4,1902,north_woodlawn,7.826086957,-50.50826698,-20.98066341
10,1903,north_woodlawn,15.81291759,0,59.66168844
16,1904,north_woodlawn,21.50537634,35.99878844,117.1379619
