GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,PRETRACTA,TRACTA,POSTTRCTA,AREANAME,BHI001,BIQ001,BIQ002,BIQ003,BIQ004,BIQ005
"G17003100001","1930","Illinois","17","Cook","031",,"0001",,"Tract    0001     in Chicago IL",4511,2128,1553,819,1,10
"G17003100002","1930","Illinois","17","Cook","031",,"0002",,"Tract    0002     in Chicago IL",1555,608,649,290,1,7
"G17003100003","1930","Illinois","17","Cook","031",,"0003",,"Tract    0003     in Chicago IL",7064,3374,2592,1081,5,12
"G17003100004","1930","Illinois","17","Cook","031",,"0004",,"Tract    0004     in Chicago IL",8497,4398,2816,1254,20,9
"G17003100005","1930","Illinois","17","Cook","031",,"0005",,"Tract    0005     in Chicago IL",14853,6842,5502,2462,29,18
"G17003100006","1930","Illinois","17","Cook","031",,"0006",,"Tract    0006     in Chicago IL",7588,3897,2486,1186,13,6
"G17003100007","1930","Illinois","17","Cook","031",,"0007",,"Tract    0007     in Chicago IL",5813,3169,1779,810,46,9
"G17003100008","1930","Illinois","17","Cook","031",,"0008",,"Tract    0008     in Chicago IL",7213,3889,2212,1099,13,0
"G17003100009","1930","Illinois","17","Cook","031",,"0009",,"Tract    0009     in Chicago IL",11383,4473,4640,2267,3,0
"G17003100010","1930","Illinois","17","Cook","031",,"0010",,"Tract    0010     in Chicago IL",3198,1436,1241,516,5,0
"G17003100011","1930","Illinois","17","Cook","031",,"0011",,"Tract    0011     in Chicago IL",5173,2260,2105,796,1,11
"G17003100012","1930","Illinois","17","Cook","031",,"0012",,"Tract    0012     in Chicago IL",6924,2988,2679,1249,8,0
"G17003100013","1930","Illinois","17","Cook","031",,"0013",,"Tract    0013     in Chicago IL",3281,1335,1302,642,1,1
"G17003100014","1930","Illinois","17","Cook","031",,"0014",,"Tract    0014     in Chicago IL",3761,1873,1384,498,6,0
"G17003100015","1930","Illinois","17","Cook","031",,"0015",,"Tract    0015     in Chicago IL",2917,1355,1105,442,15,0
"G17003100016","1930","Illinois","17","Cook","031",,"0016",,"Tract    0016     in Chicago IL",1077,491,405,177,4,0
"G17003100017","1930","Illinois","17","Cook","031",,"0017",,"Tract    0017     in Chicago IL",2045,887,789,366,3,0
"G17003100018","1930","Illinois","17","Cook","031",,"0018",,"Tract    0018     in Chicago IL",3584,1788,1187,597,7,5
"G17003100019","1930","Illinois","17","Cook","031",,"0019",,"Tract    0019     in Chicago IL",2048,1155,592,286,6,9
"G17003100020","1930","Illinois","17","Cook","031",,"0020",,"Tract    0020     in Chicago IL",9134,4585,2877,1595,23,54
"G17003100021","1930","Illinois","17","Cook","031",,"0021",,"Tract    0021     in Chicago IL",2725,1205,966,538,12,4
"G17003100022","1930","Illinois","17","Cook","031",,"0022",,"Tract    0022     in Chicago IL",10295,5455,3081,1688,35,36
"G17003100023","1930","Illinois","17","Cook","031",,"0023",,"Tract    0023     in Chicago IL",4521,2189,1204,834,233,61
"G17003100024","1930","Illinois","17","Cook","031",,"0024",,"Tract    0024     in Chicago IL",9009,4845,2561,1511,38,54
"G17003100025","1930","Illinois","17","Cook","031",,"0025",,"Tract    0025     in Chicago IL",0,0,0,0,0,0
"G17003100026","1930","Illinois","17","Cook","031",,"0026",,"Tract    0026     in Chicago IL",6317,2333,2264,1709,1,10
"G17003100027","1930","Illinois","17","Cook","031",,"0027",,"Tract    0027     in Chicago IL",6335,3152,1836,1206,62,79
"G17003100028","1930","Illinois","17","Cook","031",,"0028",,"Tract    0028     in Chicago IL",5691,2249,2177,1231,25,9
"G17003100029","1930","Illinois","17","Cook","031",,"0029",,"Tract    0029     in Chicago IL",2311,1166,737,408,0,0
"G17003100030","1930","Illinois","17","Cook","031",,"0030",,"Tract    0030     in Chicago IL",5729,1828,2095,1802,3,1
"G17003100031","1930","Illinois","17","Cook","031",,"0031",,"Tract    0031     in Chicago IL",4566,1259,1779,1525,0,3
"G17003100032","1930","Illinois","17","Cook","031",,"0032",,"Tract    0032     in Chicago IL",3304,1011,1401,889,1,2
"G17003100033","1930","Illinois","17","Cook","031",,"0033",,"Tract    0033     in Chicago IL",2948,1167,1124,656,1,0
"G17003100034","1930","Illinois","17","Cook","031",,"0034",,"Tract    0034     in Chicago IL",7453,2673,2874,1902,4,0
"G17003100035","1930","Illinois","17","Cook","031",,"0035",,"Tract    0035     in Chicago IL",8467,4273,2749,1376,24,45
"G17003100036","1930","Illinois","17","Cook","031",,"0036",,"Tract    0036     in Chicago IL",8827,3552,3300,1960,15,0
"G17003100037","1930","Illinois","17","Cook","031",,"0037",,"Tract    0037     in Chicago IL",4363,2295,1347,680,22,19
"G17003100038","1930","Illinois","17","Cook","031",,"0038",,"Tract    0038     in Chicago IL",8868,3819,3330,1712,5,2
"G17003100039","1930","Illinois","17","Cook","031",,"0039",,"Tract    0039     in Chicago IL",5142,2808,1615,696,14,9
"G17003100040","1930","Illinois","17","Cook","031",,"0040",,"Tract    0040     in Chicago IL",2726,1070,1131,524,1,0
"G17003100041","1930","Illinois","17","Cook","031",,"0041",,"Tract    0041     in Chicago IL",3102,1286,1222,588,1,5
"G17003100042","1930","Illinois","17","Cook","031",,"0042",,"Tract    0042     in Chicago IL",2464,1220,861,377,1,5
"G17003100043","1930","Illinois","17","Cook","031",,"0043",,"Tract    0043     in Chicago IL",4891,1795,2021,1068,4,3
"G17003100044","1930","Illinois","17","Cook","031",,"0044",,"Tract    0044     in Chicago IL",4307,1629,1649,1028,1,0
"G17003100045","1930","Illinois","17","Cook","031",,"0045",,"Tract    0045     in Chicago IL",1461,659,522,272,0,8
