Location,Date,Value,Blah
DEU,2000-01,5.539524,1
DEU,2000-02,5.508572,2
DEU,2000-03,5.333044,3
DEU,2000-04,5.225555,3
DEU,2000-05,5.378182,3
DEU,2000-06,5.191364,4
DEU,2000-07,5.266191,5
DEU,2000-08,5.210435,6
DEU,2000-09,5.263333,6
DEU,2000-10,5.207143,6
DEU,2000-11,5.153636,6
DEU,2000-12,4.890526,7.254545455
DEU,2001-01,4.803182,7.781818182
DEU,2001-02,4.7775,8.309090909
DEU,2001-03,4.667727,8.836363636
DEU,2001-04,4.827895,9.363636364
DEU,2001-05,5.046818,9.890909091
DEU,2001-06,5,10.41818182
DEU,2001-07,5.015909,10.94545455
DEU,2001-08,4.823913,11.47272727
DEU,2001-09,4.813,12
DEU,2001-10,4.599565,12.52727273
DEU,2001-11,4.447727,13.05454545
DEU,2001-12,4.735882,13.58181818
DEU,2002-01,4.862727,14.10909091
DEU,2002-02,4.9195,14.63636364
DEU,2002-03,5.161,15.16363636
DEU,2002-04,5.155238,15.69090909
DEU,2002-05,5.167727,16.21818182
DEU,2002-06,5.0175,16.74545455
DEU,2002-07,4.867391,17.27272727
DEU,2002-08,4.589545,1
DEU,2002-09,4.385238,1
DEU,2002-10,4.463913,1
DEU,2002-11,4.477619,1
DEU,2002-12,4.335556,1
DEU,2003-01,4.18,1
DEU,2003-02,3.955,1
DEU,2003-03,4.000476,1
DEU,2003-04,4.147,2
DEU,2003-05,3.815238,2
DEU,2003-06,3.616667,2
DEU,2003-07,3.972609,2
DEU,2003-08,4.13,3
DEU,2003-09,4.171364,3
DEU,2003-10,4.221304,3
DEU,2003-11,4.353,3
DEU,2003-12,4.291053,3.15
DEU,2004-01,4.170952,3.314705882
DEU,2004-02,4.11,3.479411765
DEU,2004-03,3.913478,3.644117647
DEU,2004-04,4.097,3.808823529
DEU,2004-05,4.253334,3.973529412
DEU,2004-06,4.312727,4.138235294
DEU,2004-07,4.236818,4.302941176
DEU,2004-08,4.080454,4.467647059
DEU,2004-09,4.016364,4.632352941
DEU,2004-10,3.894762,4.797058824
DEU,2004-11,3.780455,4.961764706
DEU,2004-12,3.579524,5.126470588
DEU,2005-01,3.564762,5.291176471
DEU,2005-02,3.544,5.455882353
DEU,2005-03,3.69619,5.620588235
DEU,2005-04,3.482381,5.785294118
DEU,2005-05,3.304091,5.95
DEU,2005-06,3.126364,6.114705882
DEU,2005-07,3.205714,6.279411765
DEU,2005-08,3.232609,6.444117647
DEU,2005-09,3.067727,6.608823529
DEU,2005-10,3.238571,6.773529412
DEU,2005-11,3.448182,6.938235294
DEU,2005-12,3.337619,7.102941176
DEU,2006-01,3.321364,7.267647059
DEU,2006-02,3.4725,7.432352941
DEU,2006-03,3.637391,7.597058824
DEU,2006-04,3.895,7.761764706
DEU,2006-05,3.962727,7.926470588
DEU,2006-06,3.960454,8.091176471
DEU,2006-07,4.01,8.255882353
DEU,2006-08,3.883913,8.420588235
DEU,2006-09,3.753809,8.585294118
DEU,2006-10,3.787727,8.75
DEU,2006-11,3.714091,8.914705882
DEU,2006-12,3.770526,9.079411765
DEU,2007-01,4.016818,9.244117647
DEU,2007-02,4.049,9.408823529
DEU,2007-03,3.940909,9.573529412
DEU,2007-04,4.152105,9.738235294
DEU,2007-05,4.279047,9.902941176
DEU,2007-06,4.560476,10.06764706
DEU,2007-07,4.505,10.23235294
DEU,2007-08,4.296522,10.39705882
DEU,2007-09,4.226,10.56176471
DEU,2007-10,4.282609,10.72647059
DEU,2007-11,4.089091,10.89117647
DEU,2007-12,4.205883,11.05588235
DEU,2008-01,4.027727,11.22058824
DEU,2008-02,3.952857,11.38529412
DEU,2008-03,3.799474,11.55
DEU,2008-04,4.04,11.71470588
DEU,2008-05,4.201905,11.87941176
DEU,2008-06,4.520476,12.04411765
DEU,2008-07,4.490435,12.20882353
DEU,2008-08,4.202381,12.37352941
DEU,2008-09,4.094091,12.53823529
DEU,2008-10,3.883478,12.70294118
DEU,2008-11,3.5565,12.86764706
DEU,2008-12,3.047895,13.03235294
DEU,2009-01,3.070952,13.19705882
DEU,2009-02,3.1275,13.36176471
DEU,2009-03,3.019546,13.52647059
DEU,2009-04,3.133,13.69117647
DEU,2009-05,3.371,13.85588235
DEU,2009-06,3.473636,14.02058824
DEU,2009-07,3.337826,14.18529412
DEU,2009-08,3.305238,14.35
DEU,2009-09,3.263182,14.51470588
DEU,2009-10,3.209091,14.67941176
DEU,2009-11,3.217143,14.84411765
DEU,2009-12,3.1385,15.00882353
DEU,2010-01,3.2575,15.17352941
DEU,2010-02,3.17,15.33823529
DEU,2010-03,3.102174,15.50294118
DEU,2010-04,3.0645,15.66764706
DEU,2010-05,2.734286,15.83235294
DEU,2010-06,2.543182,15.99705882
DEU,2010-07,2.615909,16.16176471
DEU,2010-08,2.35,16.32647059
DEU,2010-09,2.300455,16.49117647
DEU,2010-10,2.345714,16.65588235
DEU,2010-11,2.532727,16.82058824
DEU,2010-12,2.914762,16.98529412
DEU,2011-01,3.016667,17.15
DEU,2011-02,3.199,17.31470588
DEU,2011-03,3.211739,17.47941176
DEU,2011-04,3.340526,17.64411765
DEU,2011-05,3.060909,17.80882353
DEU,2011-06,2.890909,17.97352941
DEU,2011-07,2.743809,18.13823529
DEU,2011-08,2.213478,18.30294118
DEU,2011-09,1.829091,18.46764706
DEU,2011-10,2.002381,18.63235294
DEU,2011-11,1.874091,18.79705882
DEU,2011-12,1.927619,18.96176471
DEU,2012-01,1.820909,19.12647059
DEU,2012-02,1.851905,19.29117647
DEU,2012-03,1.830455,19.45588235
DEU,2012-04,1.62421,19.62058824
DEU,2012-05,1.336818,19.78529412
DEU,2012-06,1.300476,19.95
DEU,2012-07,1.242273,20.11470588
DEU,2012-08,1.341739,20.27941176
DEU,2012-09,1.4905,20.44411765
DEU,2012-10,1.466956,20.60882353
DEU,2012-11,1.335909,20.77352941
DEU,2012-12,1.299412,20.93823529
DEU,2013-01,1.512273,21.10294118
DEU,2013-02,1.5435,21.26764706
DEU,2013-03,1.3545,21.43235294
DEU,2013-04,1.19619,21.59705882
DEU,2013-05,1.294091,21.76176471
DEU,2013-06,1.5305,21.92647059
DEU,2013-07,1.565652,22.09117647
DEU,2013-08,1.735,22.25588235
DEU,2013-09,1.888095,22.42058824
DEU,2013-10,1.762174,22.58529412
DEU,2013-11,1.677143,22.75
DEU,2013-12,1.797778,22.91470588
DEU,2014-01,1.755909,23.07941176
DEU,2014-02,1.5585,23.24411765
DEU,2014-03,1.508571,23.40882353
DEU,2014-04,1.4565,23.57352941
DEU,2014-05,1.327143,23.73823529
DEU,2014-06,1.264286,23.90294118
DEU,2014-07,1.114348,24.06764706
DEU,2014-08,0.9561905,24.23235294
DEU,2014-09,0.9213637,24.39705882
DEU,2014-10,0.7909091,24.56176471
DEU,2014-11,0.719,24.72647059
DEU,2014-12,0.5889474,1
DEU,2015-01,0.39,1
DEU,2015-02,0.302,1
DEU,2015-03,0.2272727,1
DEU,2015-04,0.122,1
DEU,2015-05,0.5557895,1
DEU,2015-06,0.7927273,1
DEU,2015-07,0.71,1
DEU,2015-08,0.6085714,1
DEU,2015-09,0.6540909,1
DEU,2015-10,0.5181818,1
DEU,2015-11,0.5161905,1
DEU,2015-12,0.5455,1
DEU,2016-01,0.4305,1
DEU,2016-02,0.1728572,1
DEU,2016-03,0.1714286,1
DEU,2016-04,0.1342857,1
DEU,2016-05,0.1328571,1
DEU,2016-06,-0.01681818,1
DEU,2016-07,-0.1542857,1
DEU,2016-08,-0.1317391,1
DEU,2016-09,-0.08409091,1
DEU,2016-10,0.002,2
DEU,2016-11,0.1890909,2
DEU,2016-12,0.2519048,2
DEU,2017-01,0.2509091,2
DEU,2017-02,0.258,2
DEU,2017-03,0.3482609,2
DEU,2017-04,0.2255556,2
DEU,2017-05,0.3363636,2
DEU,2017-06,0.2504762,2
DEU,2017-07,0.4557143,2
DEU,2017-08,0.3460869,3
DEU,2017-09,0.3471428,3
DEU,2017-10,0.3725,3
DEU,2017-11,0.3081818,3
DEU,2017-12,0.2968421,3
DEU,2018-01,0.4745454,3
DEU,2018-02,0.659,3
DEU,2018-03,0.5295238,3
DEU,2018-04,0.48,3
DEU,2018-05,0.45,3
DEU,2018-06,0.3271429,3
DEU,2018-07,0.2745455,3
DEU,2018-08,0.2908696,3
DEU,2018-09,0.3705,3
DEU,2018-10,0.3990909,3.344202899
