GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,PRETRACTA,TRACTA,POSTTRCTA,AREANAME,BAT001,BAT002,BAT003,BAT004,BAT005,BAT006
"G17003100001","1920","Illinois","17","Cook","031",,"0001",,"Tract    0001    in Chicago, IL",861,873,394,690,0,2
"G17003100002","1920","Illinois","17","Cook","031",,"0002",,"Tract    0002    in Chicago, IL",980,1133,472,679,2,0
"G17003100003","1920","Illinois","17","Cook","031",,"0003",,"Tract    0003    in Chicago, IL",605,750,286,619,0,0
"G17003100004","1920","Illinois","17","Cook","031",,"0004",,"Tract    0004    in Chicago, IL",1523,490,310,298,4,2
"G17003100005","1920","Illinois","17","Cook","031",,"0005",,"Tract    0005    in Chicago, IL",2892,1099,674,845,27,0
"G17003100006","1920","Illinois","17","Cook","031",,"0006",,"Tract    0006    in Chicago, IL",3139,1803,1025,1337,16,3
"G17003100007","1920","Illinois","17","Cook","031",,"0007",,"Tract    0007    in Chicago, IL",5808,2462,1484,1562,47,7
"G17003100008","1920","Illinois","17","Cook","031",,"0008",,"Tract    0008    in Chicago, IL",1239,1657,525,1193,0,1
"G17003100009","1920","Illinois","17","Cook","031",,"0009",,"Tract    0009    in Chicago, IL",1822,2681,785,2258,1,3
"G17003100010","1920","Illinois","17","Cook","031",,"0010",,"Tract    0010    in Chicago, IL",3371,3587,1448,2976,1,2
"G17003100011","1920","Illinois","17","Cook","031",,"0011",,"Tract    0011    in Chicago, IL",2976,2523,1204,1686,1,3
"G17003100012","1920","Illinois","17","Cook","031",,"0012",,"Tract    0012    in Chicago, IL",2232,1616,773,1259,0,3
"G17003100013","1920","Illinois","17","Cook","031",,"0013",,"Tract    0013    in Chicago, IL",3445,1694,950,1259,11,10
"G17003100014","1920","Illinois","17","Cook","031",,"0014",,"Tract    0014    in Chicago, IL",3694,2231,1241,1600,11,9
"G17003100015","1920","Illinois","17","Cook","031",,"0015",,"Tract    0015    in Chicago, IL",4224,2749,1262,2114,40,6
"G17003100016","1920","Illinois","17","Cook","031",,"0016",,"Tract    0016    in Chicago, IL",3931,2796,1310,2328,12,2
"G17003100017","1920","Illinois","17","Cook","031",,"0017",,"Tract    0017    in Chicago, IL",6153,3532,1732,2889,24,16
"G17003100018","1920","Illinois","17","Cook","031",,"0018",,"Tract    0018    in Chicago, IL",4063,1579,995,1154,35,0
"G17003100019","1920","Illinois","17","Cook","031",,"0019",,"Tract    0019    in Chicago, IL",6728,2223,1172,1847,125,22
"G17003100020","1920","Illinois","17","Cook","031",,"0020",,"Tract    0020    in Chicago, IL",5316,2154,1192,1655,39,6
"G17003100021","1920","Illinois","17","Cook","031",,"0021",,"Tract    0021    in Chicago, IL",1761,2248,927,1722,8,2
