Search_and_address,old_search,old_addr,search,addr,city_state,full,Quantity,Publication,Month,Day,Year,Edition,lon,lat,geoAddress
1018_East_43RD_@1018_E_43RD_ST@.html,1018_East_43RD_,1018_E_43RD_ST,1018 East 43RD ,1018 E 43RD ST,"Chicago, IL","1018 E 43RD ST, Chicago, IL","1", Cap and Gown,,,"1916", Vol. 21,"-87.6008668","41.817066","1018 e 43rd st, chicago, il 60653, usa"
64_East_MADISON_@64_E_MADISON_ST@.html,64_East_MADISON_,64_E_MADISON_ST,64 East MADISON ,64 E MADISON ST,"Chicago, IL","64 E MADISON ST, Chicago, IL","1", Cap and Gown,,,"1920", Vol. 25,"-87.62556","41.8821946","64 e madison st, chicago, il 60602, usa"
27_E._MONROE_@27_E_MONROE_ST@.html,27_E._MONROE_,27_E_MONROE_ST,27 E. MONROE ,27 E MONROE ST,"Chicago, IL","27 E MONROE ST, Chicago, IL","1", Cap and Gown,,,"1915", Vol. 20,"-87.6267365","41.8806034","27 e monroe st, chicago, il 60603, usa"
78_East_JACKSON_@78_E_JACKSON_BLVD@.html,78_East_JACKSON_,78_E_JACKSON_BLVD,78 East JACKSON ,78 E JACKSON BLVD,"Chicago, IL","78 E JACKSON BLVD, Chicago, IL","1", Cap and Gown,,,"1921", Vol. 26,"-87.6249521","41.8785297","78 e jackson blvd, chicago, il 60604, usa"
78_East_JACKSON_@78_E_JACKSON_BLVD@.html,78_East_JACKSON_,78_E_JACKSON_BLVD,78 East JACKSON ,78 E JACKSON BLVD,"Chicago, IL","78 E JACKSON BLVD, Chicago, IL","1", Cap and Gown,,,"1925", Vol. 30,"-87.6249521","41.8785297","78 e jackson blvd, chicago, il 60604, usa"
78_East_JACKSON_@78_E_JACKSON_BLVD@.html,78_East_JACKSON_,78_E_JACKSON_BLVD,78 East JACKSON ,78 E JACKSON BLVD,"Chicago, IL","78 E JACKSON BLVD, Chicago, IL","1", Cap and Gown,,,"1924", Vol. 29,"-87.6249521","41.8785297","78 e jackson blvd, chicago, il 60604, usa"
78_East_JACKSON_@78_E_JACKSON_BLVD@.html,78_East_JACKSON_,78_E_JACKSON_BLVD,78 East JACKSON ,78 E JACKSON BLVD,"Chicago, IL","78 E JACKSON BLVD, Chicago, IL","1", Cap and Gown,,,"1923", Vol. 28,"-87.6249521","41.8785297","78 e jackson blvd, chicago, il 60604, usa"
78_East_JACKSON_@78_E_JACKSON_BLVD@.html,78_East_JACKSON_,78_E_JACKSON_BLVD,78 East JACKSON ,78 E JACKSON BLVD,"Chicago, IL","78 E JACKSON BLVD, Chicago, IL","1", Cap and Gown,,,"1922", Vol. 27,"-87.6249521","41.8785297","78 e jackson blvd, chicago, il 60604, usa"
78_East_JACKSON_@78_E_JACKSON_BLVD@.html,78_East_JACKSON_,78_E_JACKSON_BLVD,78 East JACKSON ,78 E JACKSON BLVD,"Chicago, IL","78 E JACKSON BLVD, Chicago, IL","1", Cap and Gown,,,"1927", Vol. 32,"-87.6249521","41.8785297","78 e jackson blvd, chicago, il 60604, usa"
78_East_JACKSON_@78_E_JACKSON_BLVD@.html,78_East_JACKSON_,78_E_JACKSON_BLVD,78 East JACKSON ,78 E JACKSON BLVD,"Chicago, IL","78 E JACKSON BLVD, Chicago, IL","1", Cap and Gown,,,"1926", Vol. 31,"-87.6249521","41.8785297","78 e jackson blvd, chicago, il 60604, usa"
65_East_LAKE_@65_E_LAKE_ST@.html,65_East_LAKE_,65_E_LAKE_ST,65 East LAKE ,65 E LAKE ST,"Chicago, IL","65 E LAKE ST, Chicago, IL","1", Cap and Gown,,,"1931", Vol. 36,"-87.6256515","41.8856163","65 e lake st, chicago, il 60601, usa"
20_East_16TH_@20_E_16TH_ST@.html,20_East_16TH_,20_E_16TH_ST,20 East 16TH ,20 E 16TH ST,"Chicago, IL","20 E 16TH ST, Chicago, IL","1", Cap and Gown,,,"1895", Vol. 1,"-87.6268576","41.8602849","20 e 16th st, chicago, il 60616, usa"
63_East_MONROE_@63_E_MONROE_ST@.html,63_East_MONROE_,63_E_MONROE_ST,63 East MONROE ,63 E MONROE ST,"Chicago, IL","63 E MONROE ST, Chicago, IL","1", Cap and Gown,,,"1915", Vol. 20,"-87.6254586","41.8806373","63 e monroe st, chicago, il 60603, usa"
63_East_MONROE_@63_E_MONROE_ST@.html,63_East_MONROE_,63_E_MONROE_ST,63 East MONROE ,63 E MONROE ST,"Chicago, IL","63 E MONROE ST, Chicago, IL","1", Cap and Gown,,,"1916", Vol. 21,"-87.6254586","41.8806373","63 e monroe st, chicago, il 60603, usa"
