search_and_address,old_search,old_addr,page,search,addr,city_state,full,quantity,publication,month,day,year,edition,lon,lat,geoAddress
page_5_@71_East_MONROE_@71_E_MONROE_ST@.html,71_East_MONROE_,71_E_MONROE_ST,"5",71 East MONROE ,71 E MONROE ST,"Chicago, IL","71 E MONROE ST, Chicago, IL","1", Cap and Gown,,,"1921", Vol. 26,"-87.6249993","41.880641","71 e monroe st, chicago, il 60603, usa"
page_5_@71_East_MONROE_@71_E_MONROE_ST@.html,71_East_MONROE_,71_E_MONROE_ST,"5",71 East MONROE ,71 E MONROE ST,"Chicago, IL","71 E MONROE ST, Chicago, IL","1", Cap and Gown,,,"1923", Vol. 28,"-87.6249993","41.880641","71 e monroe st, chicago, il 60603, usa"
page_5_@71_East_MONROE_@71_E_MONROE_ST@.html,71_East_MONROE_,71_E_MONROE_ST,"5",71 East MONROE ,71 E MONROE ST,"Chicago, IL","71 E MONROE ST, Chicago, IL","1", Cap and Gown,,,"1917", Vol. 22,"-87.6249993","41.880641","71 e monroe st, chicago, il 60603, usa"
page_5_@71_East_MONROE_@71_E_MONROE_ST@.html,71_East_MONROE_,71_E_MONROE_ST,"5",71 East MONROE ,71 E MONROE ST,"Chicago, IL","71 E MONROE ST, Chicago, IL","1", Cap and Gown,,,"1918", Vol. 23,"-87.6249993","41.880641","71 e monroe st, chicago, il 60603, usa"
page_5_@71_East_MONROE_@71_E_MONROE_ST@.html,71_East_MONROE_,71_E_MONROE_ST,"5",71 East MONROE ,71 E MONROE ST,"Chicago, IL","71 E MONROE ST, Chicago, IL","1", Cap and Gown,,,"1916", Vol. 21,"-87.6249993","41.880641","71 e monroe st, chicago, il 60603, usa"
page_5_@71_East_MONROE_@71_E_MONROE_ST@.html,71_East_MONROE_,71_E_MONROE_ST,"5",71 East MONROE ,71 E MONROE ST,"Chicago, IL","71 E MONROE ST, Chicago, IL","1", Cap and Gown,,,"1920", Vol. 25,"-87.6249993","41.880641","71 e monroe st, chicago, il 60603, usa"
page_5_@71_East_MONROE_@71_E_MONROE_ST@.html,71_East_MONROE_,71_E_MONROE_ST,"5",71 East MONROE ,71 E MONROE ST,"Chicago, IL","71 E MONROE ST, Chicago, IL","1", Cap and Gown,,,"1924", Vol. 29,"-87.6249993","41.880641","71 e monroe st, chicago, il 60603, usa"
page_5_@71_East_MONROE_@71_E_MONROE_ST@.html,71_East_MONROE_,71_E_MONROE_ST,"5",71 East MONROE ,71 E MONROE ST,"Chicago, IL","71 E MONROE ST, Chicago, IL","1", Cap and Gown,,,"1922", Vol. 27,"-87.6249993","41.880641","71 e monroe st, chicago, il 60603, usa"
page_5_@71_East_MONROE_@71_E_MONROE_ST@.html,71_East_MONROE_,71_E_MONROE_ST,"5",71 East MONROE ,71 E MONROE ST,"Chicago, IL","71 E MONROE ST, Chicago, IL","1", Cap and Gown,,,"1914", Vol. 19,"-87.6249993","41.880641","71 e monroe st, chicago, il 60603, usa"
page_4_@25_East_JACKSON_@25_E_JACKSON_BLVD@.html,25_East_JACKSON_,25_E_JACKSON_BLVD,"4",25 East JACKSON ,25 E JACKSON BLVD,"Chicago, IL","25 E JACKSON BLVD, Chicago, IL","1", Cap and Gown,,,"1929", Vol. 34,"-87.6263857","41.8780297","depaul university college of law, 25 e jackson blvd, chicago, il 60604, usa"
