Search_and_address,old_search,old_addr,search,addr,city_state,full,Quantity,Publication,Month,Day,Year,Edition,lon,lat,geoAddress
850_East_63RD_Street_@850_E_63RD_ST@.html,850_East_63RD_Street_,850_E_63RD_ST,850 East 63RD Street ,850 E 63RD ST,"Chicago, IL","850 E 63RD ST, Chicago, IL","1", Cap and Gown,,,"1912", Vol. 17,"-87.6039803","41.7806685","850 e 63rd st, chicago, il 60637, usa"
1177_East_55TH_Street_@1177_E_55TH_ST@.html,1177_East_55TH_Street_,1177_E_55TH_ST,1177 East 55TH Street ,1177 E 55TH ST,"Chicago, IL","1177 E 55TH ST, Chicago, IL","1", Cap and Gown,,,"1930", Vol. 35,"-87.5966329","41.7950592","1177 e 55th st, chicago, il 60637, usa"
1177_East_55TH_Street_@1177_E_55TH_ST@.html,1177_East_55TH_Street_,1177_E_55TH_ST,1177 East 55TH Street ,1177 E 55TH ST,"Chicago, IL","1177 E 55TH ST, Chicago, IL","1", Cap and Gown,,,"1926", Vol. 31,"-87.5966329","41.7950592","1177 e 55th st, chicago, il 60637, usa"
1177_East_55TH_Street_@1177_E_55TH_ST@.html,1177_East_55TH_Street_,1177_E_55TH_ST,1177 East 55TH Street ,1177 E 55TH ST,"Chicago, IL","1177 E 55TH ST, Chicago, IL","1", Cap and Gown,,,"1928", Vol. 33,"-87.5966329","41.7950592","1177 e 55th st, chicago, il 60637, usa"
1177_East_55TH_Street_@1177_E_55TH_ST@.html,1177_East_55TH_Street_,1177_E_55TH_ST,1177 East 55TH Street ,1177 E 55TH ST,"Chicago, IL","1177 E 55TH ST, Chicago, IL","1", Cap and Gown,,,"1927", Vol. 32,"-87.5966329","41.7950592","1177 e 55th st, chicago, il 60637, usa"
1453_East_57TH_Street_@1453_E_57TH_ST@.html,1453_East_57TH_Street_,1453_E_57TH_ST,1453 East 57TH Street ,1453 E 57TH ST,"Chicago, IL","1453 E 57TH ST, Chicago, IL","1", Cap and Gown,,,"1960", Vol. 53,"-87.589322","41.791324","1453 e 57th st, chicago, il 60637, usa"
1318_East_63RD_Street_@1318_E_63RD_ST@.html,1318_East_63RD_Street_,1318_E_63RD_ST,1318 East 63RD Street ,1318 E 63RD ST,"Chicago, IL","1318 E 63RD ST, Chicago, IL","1", Cap and Gown,,,"1956", Vol. 49,"-87.5938136","41.780748","1318 e 63rd st, chicago, il 60637, usa"
1318_East_63RD_Street_@1318_E_63RD_ST@.html,1318_East_63RD_Street_,1318_E_63RD_ST,1318 East 63RD Street ,1318 E 63RD ST,"Chicago, IL","1318 E 63RD ST, Chicago, IL","1", Cap and Gown,,,"1967", Vol. 60,"-87.5938136","41.780748","1318 e 63rd st, chicago, il 60637, usa"
1214_East_55TH_Street_@1214_E_55TH_ST@.html,1214_East_55TH_Street_,1214_E_55TH_ST,1214 East 55TH Street ,1214 E 55TH ST,"Chicago, IL","1214 E 55TH ST, Chicago, IL","1", Cap and Gown,,,"1930", Vol. 35,"-87.5957938","41.7953643","1214 e 55th st, chicago, il 60615, usa"
740_East_41ST_Street_@740_E_41ST_ST@.html,740_East_41ST_Street_,740_E_41ST_ST,740 East 41ST Street ,740 E 41ST ST,"Chicago, IL","740 E 41ST ST, Chicago, IL","1", Cap and Gown,,,"1921", Vol. 26,"-87.608355","41.820491","740 e 41st st, chicago, il 60653, usa"
1223_East_63RD_Street_@1223_E_63RD_ST@.html,1223_East_63RD_Street_,1223_E_63RD_ST,1223 East 63RD Street ,1223 E 63RD ST,"Chicago, IL","1223 E 63RD ST, Chicago, IL","1", Cap and Gown,,,"1916", Vol. 21,"-87.5952413","41.7802729","1223 e 63rd st, chicago, il 60637, usa"
