search_and_address,old_search,old_addr,page,search,addr,city_state,full,quantity,publication,month,day,year,edition,lon,lat,geoAddress
page_2_@5300_BLACKSTONE_@5300_S_BLACKSTONE_AVE@.html,5300_BLACKSTONE_,5300_S_BLACKSTONE_AVE,"2",5300 BLACKSTONE ,5300 S BLACKSTONE AVE,"Chicago, IL","5300 S BLACKSTONE AVE, Chicago, IL","1", Cap and Gown,,,"1929", Vol. 34,"-87.590829","41.7991979","5300 s blackstone ave, chicago, il 60615, usa"
page_2_@5845_DORCHESTER_@5845_S_DORCHESTER_AVE@.html,5845_DORCHESTER_,5845_S_DORCHESTER_AVE,"2",5845 DORCHESTER ,5845 S DORCHESTER AVE,"Chicago, IL","5845 S DORCHESTER AVE, Chicago, IL","1", Cap and Gown,,,"1916", Vol. 21,"-87.5912155","41.7886548","5845 s dorchester ave, chicago, il 60637, usa"
page_10_@5706_ELLIS_@5706_S_ELLIS_AVE@.html,5706_ELLIS_,5706_S_ELLIS_AVE,"10",5706 ELLIS ,5706 S ELLIS AVE,"Chicago, IL","5706 S ELLIS AVE, Chicago, IL","1", Cap and Gown,,,"1930", Vol. 35,"-87.6017042","41.7911777","5706 s ellis ave, chicago, il 60637, usa"
page_10_@5706_ELLIS_@5706_S_ELLIS_AVE@.html,5706_ELLIS_,5706_S_ELLIS_AVE,"10",5706 ELLIS ,5706 S ELLIS AVE,"Chicago, IL","5706 S ELLIS AVE, Chicago, IL","1", Cap and Gown,,,"1931", Vol. 36,"-87.6017042","41.7911777","5706 s ellis ave, chicago, il 60637, usa"
page_10_@5706_ELLIS_@5706_S_ELLIS_AVE@.html,5706_ELLIS_,5706_S_ELLIS_AVE,"10",5706 ELLIS ,5706 S ELLIS AVE,"Chicago, IL","5706 S ELLIS AVE, Chicago, IL","1", Cap and Gown,,,"1916", Vol. 21,"-87.6017042","41.7911777","5706 s ellis ave, chicago, il 60637, usa"
page_87_@5802_ELLIS_@5802_S_ELLIS_AVE@.html,5802_ELLIS_,5802_S_ELLIS_AVE,"87",5802 ELLIS ,5802 S ELLIS AVE,"Chicago, IL","5802 S ELLIS AVE, Chicago, IL","1", Cap and Gown,,,"1919", Vol. 24,"-87.6012544","41.7894269","5802 s ellis ave, chicago, il 60637, usa"
page_87_@5802_ELLIS_@5802_S_ELLIS_AVE@.html,5802_ELLIS_,5802_S_ELLIS_AVE,"87",5802 ELLIS ,5802 S ELLIS AVE,"Chicago, IL","5802 S ELLIS AVE, Chicago, IL","1", Cap and Gown,,,"1934", Vol. 38,"-87.6012544","41.7894269","5802 s ellis ave, chicago, il 60637, usa"
page_87_@5802_ELLIS_@5802_S_ELLIS_AVE@.html,5802_ELLIS_,5802_S_ELLIS_AVE,"87",5802 ELLIS ,5802 S ELLIS AVE,"Chicago, IL","5802 S ELLIS AVE, Chicago, IL","1", Cap and Gown,,,"1930", Vol. 35,"-87.6012544","41.7894269","5802 s ellis ave, chicago, il 60637, usa"
page_2_@5838_INDIANA_@5838_S_INDIANA_AVE@.html,5838_INDIANA_,5838_S_INDIANA_AVE,"2",5838 INDIANA ,5838 S INDIANA AVE,"Chicago, IL","5838 S INDIANA AVE, Chicago, IL","1", Cap and Gown,,,"1924", Vol. 29,"-87.6210483","41.788071","5838 s indiana ave, chicago, il 60637, usa"
page_5_@5700_HARPER_@5700_S_HARPER_AVE@.html,5700_HARPER_,5700_S_HARPER_AVE,"5",5700 HARPER ,5700 S HARPER AVE,"Chicago, IL","5700 S HARPER AVE, Chicago, IL","1", Cap and Gown,,,"1968", Vol. 61,"-87.5891819","41.7913981","5700 s harper ave, chicago, il 60637, usa"
