Search_and_address,old_search,old_addr,search,addr,city_state,full,Quantity,Publication,Month,Day,Year,Edition,lon,lat,geoAddress
425_South_WABASH_@425_S_WABASH_AVE@.html,425_South_WABASH_,425_S_WABASH_AVE,425 South WABASH ,425 S WABASH AVE,"Chicago, IL","425 S WABASH AVE, Chicago, IL","1", Cap and Gown,,,"1931", Vol. 36,"-87.625842","41.8763859","425 s wabash ave, chicago, il 60605, usa"
425_South_WABASH_@425_S_WABASH_AVE@.html,425_South_WABASH_,425_S_WABASH_AVE,425 South WABASH ,425 S WABASH AVE,"Chicago, IL","425 S WABASH AVE, Chicago, IL","1", Cap and Gown,,,"1930", Vol. 35,"-87.625842","41.8763859","425 s wabash ave, chicago, il 60605, usa"
4357_South_STATE_@4357_S_STATE_ST@.html,4357_South_STATE_,4357_S_STATE_ST,4357 South STATE ,4357 S STATE ST,"Chicago, IL","4357 S STATE ST, Chicago, IL","1", Cap and Gown,,,"1916", Vol. 21,"-87.6258406","41.8152052","4357 s state st, chicago, il 60609, usa"
4357_South_STATE_@4357_S_STATE_ST@.html,4357_South_STATE_,4357_S_STATE_ST,4357 South STATE ,4357 S STATE ST,"Chicago, IL","4357 S STATE ST, Chicago, IL","1", Cap and Gown,,,"1915", Vol. 20,"-87.6258406","41.8152052","4357 s state st, chicago, il 60609, usa"
725_South_LA_SALLE_@725_S_LA_SALLE_ST@.html,725_South_LA_SALLE_,725_S_LA_SALLE_ST,725 South LA SALLE ,725 S LA SALLE ST,"Chicago, IL","725 S LA SALLE ST, Chicago, IL","1", Cap and Gown,,,"1936", Vol. 40,"-87.631379","41.872669","725 s lasalle st, chicago, il 60605, usa"
18_South_LA_SALLE_@18_S_LA_SALLE_ST@.html,18_South_LA_SALLE_,18_S_LA_SALLE_ST,18 South LA SALLE ,18 S LA SALLE ST,"Chicago, IL","18 S LA SALLE ST, Chicago, IL","1", Cap and Gown,,,"1927", Vol. 32,"-87.6323483","41.8813934","18 s lasalle st, chicago, il 60603, usa"
1832_South_WABASH_@1832_S_WABASH_AVE@.html,1832_South_WABASH_,1832_S_WABASH_AVE,1832 South WABASH ,1832 S WABASH AVE,"Chicago, IL","1832 S WABASH AVE, Chicago, IL","1", Cap and Gown,,,"1925", Vol. 30,"-87.626084","41.856797","1832 s wabash ave, chicago, il 60616, usa"
1832_South_WABASH_@1832_S_WABASH_AVE@.html,1832_South_WABASH_,1832_S_WABASH_AVE,1832 South WABASH ,1832 S WABASH AVE,"Chicago, IL","1832 S WABASH AVE, Chicago, IL","1", Cap and Gown,,,"1926", Vol. 31,"-87.626084","41.856797","1832 s wabash ave, chicago, il 60616, usa"
228_South_WABASH_@228_S_WABASH_AVE@.html,228_South_WABASH_,228_S_WABASH_AVE,228 South WABASH ,228 S WABASH AVE,"Chicago, IL","228 S WABASH AVE, Chicago, IL","1", Cap and Gown,,,"1941", Vol. 45,"-87.6263862","41.8786628","228 s wabash ave, chicago, il 60604, usa"
4209_South_WELLS_@4209_S_WELLS_ST@.html,4209_South_WELLS_,4209_S_WELLS_ST,4209 South WELLS ,4209 S WELLS ST,"Chicago, IL","4209 S WELLS ST, Chicago, IL","1", Cap and Gown,,,"1955", Vol. 48,"-87.6321149","41.8179214","4209 s wells st, chicago, il 60609, usa"
