search_and_address,old_search,old_addr,page,search,addr,city_state,full,quantity,publication,month,day,year,edition,lon,lat,geoAddress
page_2_@410_South_MICHIGAN_@410_S_MICHIGAN_AVE@.html,410_South_MICHIGAN_,410_S_MICHIGAN_AVE,"2",410 South MICHIGAN ,410 S MICHIGAN AVE,"Chicago, IL","410 S MICHIGAN AVE, Chicago, IL","1", Cap and Gown,,,"1929", Vol. 34,"-87.6245703","41.8766024","410 s michigan ave, chicago, il 60605, usa"
page_2_@410_South_MICHIGAN_@410_S_MICHIGAN_AVE@.html,410_South_MICHIGAN_,410_S_MICHIGAN_AVE,"2",410 South MICHIGAN ,410 S MICHIGAN AVE,"Chicago, IL","410 S MICHIGAN AVE, Chicago, IL","1", Cap and Gown,,,"1917", Vol. 22,"-87.6245703","41.8766024","410 s michigan ave, chicago, il 60605, usa"
page_2_@410_South_MICHIGAN_@410_S_MICHIGAN_AVE@.html,410_South_MICHIGAN_,410_S_MICHIGAN_AVE,"2",410 South MICHIGAN ,410 S MICHIGAN AVE,"Chicago, IL","410 S MICHIGAN AVE, Chicago, IL","1", Cap and Gown,,,"1918", Vol. 23,"-87.6245703","41.8766024","410 s michigan ave, chicago, il 60605, usa"
page_2_@410_South_MICHIGAN_@410_S_MICHIGAN_AVE@.html,410_South_MICHIGAN_,410_S_MICHIGAN_AVE,"2",410 South MICHIGAN ,410 S MICHIGAN AVE,"Chicago, IL","410 S MICHIGAN AVE, Chicago, IL","2", Cap and Gown,,,"1928", Vol. 33,"-87.6245703","41.8766024","410 s michigan ave, chicago, il 60605, usa"
page_2_@410_South_MICHIGAN_@410_S_MICHIGAN_AVE@.html,410_South_MICHIGAN_,410_S_MICHIGAN_AVE,"2",410 South MICHIGAN ,410 S MICHIGAN AVE,"Chicago, IL","410 S MICHIGAN AVE, Chicago, IL","1", Cap and Gown,,,"1930", Vol. 35,"-87.6245703","41.8766024","410 s michigan ave, chicago, il 60605, usa"
page_2_@410_South_MICHIGAN_@410_S_MICHIGAN_AVE@.html,410_South_MICHIGAN_,410_S_MICHIGAN_AVE,"2",410 South MICHIGAN ,410 S MICHIGAN AVE,"Chicago, IL","410 S MICHIGAN AVE, Chicago, IL","1", Cap and Gown,,,"1929", Vol. 34,"-87.6245703","41.8766024","410 s michigan ave, chicago, il 60605, usa"
page_2_@410_South_MICHIGAN_@410_S_MICHIGAN_AVE@.html,410_South_MICHIGAN_,410_S_MICHIGAN_AVE,"2",410 South MICHIGAN ,410 S MICHIGAN AVE,"Chicago, IL","410 S MICHIGAN AVE, Chicago, IL","1", Cap and Gown,,,"1934", Vol. 38,"-87.6245703","41.8766024","410 s michigan ave, chicago, il 60605, usa"
page_2_@410_South_MICHIGAN_@410_S_MICHIGAN_AVE@.html,410_South_MICHIGAN_,410_S_MICHIGAN_AVE,"2",410 South MICHIGAN ,410 S MICHIGAN AVE,"Chicago, IL","410 S MICHIGAN AVE, Chicago, IL","1", Cap and Gown,,,"1921", Vol. 26,"-87.6245703","41.8766024","410 s michigan ave, chicago, il 60605, usa"
page_2_@410_South_MICHIGAN_@410_S_MICHIGAN_AVE@.html,410_South_MICHIGAN_,410_S_MICHIGAN_AVE,"2",410 South MICHIGAN ,410 S MICHIGAN AVE,"Chicago, IL","410 S MICHIGAN AVE, Chicago, IL","1", Cap and Gown,,,"1917", Vol. 22,"-87.6245703","41.8766024","410 s michigan ave, chicago, il 60605, usa"
page_3_@620_South_MICHIGAN_@620_S_MICHIGAN_AVE@.html,620_South_MICHIGAN_,620_S_MICHIGAN_AVE,"3",620 South MICHIGAN ,620 S MICHIGAN AVE,"Chicago, IL","620 S MICHIGAN AVE, Chicago, IL","1", Cap and Gown,,,"1919", Vol. 24,"-87.6246832","41.873712","620 s michigan ave, chicago, il 60605, usa"
page_3_@620_South_MICHIGAN_@620_S_MICHIGAN_AVE@.html,620_South_MICHIGAN_,620_S_MICHIGAN_AVE,"3",620 South MICHIGAN ,620 S MICHIGAN AVE,"Chicago, IL","620 S MICHIGAN AVE, Chicago, IL","1", Cap and Gown,,,"1920", Vol. 25,"-87.6246832","41.873712","620 s michigan ave, chicago, il 60605, usa"
page_3_@620_South_MICHIGAN_@620_S_MICHIGAN_AVE@.html,620_South_MICHIGAN_,620_S_MICHIGAN_AVE,"3",620 South MICHIGAN ,620 S MICHIGAN AVE,"Chicago, IL","620 S MICHIGAN AVE, Chicago, IL","3", Cap and Gown,,,"1920", Vol. 25,"-87.6246832","41.873712","620 s michigan ave, chicago, il 60605, usa"
page_3_@620_South_MICHIGAN_@620_S_MICHIGAN_AVE@.html,620_South_MICHIGAN_,620_S_MICHIGAN_AVE,"3",620 South MICHIGAN ,620 S MICHIGAN AVE,"Chicago, IL","620 S MICHIGAN AVE, Chicago, IL","2", Cap and Gown,,,"1919", Vol. 24,"-87.6246832","41.873712","620 s michigan ave, chicago, il 60605, usa"
page_3_@620_South_MICHIGAN_@620_S_MICHIGAN_AVE@.html,620_South_MICHIGAN_,620_S_MICHIGAN_AVE,"3",620 South MICHIGAN ,620 S MICHIGAN AVE,"Chicago, IL","620 S MICHIGAN AVE, Chicago, IL","1", Cap and Gown,,,"1930", Vol. 35,"-87.6246832","41.873712","620 s michigan ave, chicago, il 60605, usa"
page_3_@620_South_MICHIGAN_@620_S_MICHIGAN_AVE@.html,620_South_MICHIGAN_,620_S_MICHIGAN_AVE,"3",620 South MICHIGAN ,620 S MICHIGAN AVE,"Chicago, IL","620 S MICHIGAN AVE, Chicago, IL","1", Cap and Gown,,,"1928", Vol. 33,"-87.6246832","41.873712","620 s michigan ave, chicago, il 60605, usa"
page_3_@620_South_MICHIGAN_@620_S_MICHIGAN_AVE@.html,620_South_MICHIGAN_,620_S_MICHIGAN_AVE,"3",620 South MICHIGAN ,620 S MICHIGAN AVE,"Chicago, IL","620 S MICHIGAN AVE, Chicago, IL","1", Cap and Gown,,,"1935", Vol. 39,"-87.6246832","41.873712","620 s michigan ave, chicago, il 60605, usa"
page_3_@620_South_MICHIGAN_@620_S_MICHIGAN_AVE@.html,620_South_MICHIGAN_,620_S_MICHIGAN_AVE,"3",620 South MICHIGAN ,620 S MICHIGAN AVE,"Chicago, IL","620 S MICHIGAN AVE, Chicago, IL","1", Cap and Gown,,,"1916", Vol. 21,"-87.6246832","41.873712","620 s michigan ave, chicago, il 60605, usa"
page_3_@620_South_MICHIGAN_@620_S_MICHIGAN_AVE@.html,620_South_MICHIGAN_,620_S_MICHIGAN_AVE,"3",620 South MICHIGAN ,620 S MICHIGAN AVE,"Chicago, IL","620 S MICHIGAN AVE, Chicago, IL","1", Cap and Gown,,,"1921", Vol. 26,"-87.6246832","41.873712","620 s michigan ave, chicago, il 60605, usa"
page_3_@620_South_MICHIGAN_@620_S_MICHIGAN_AVE@.html,620_South_MICHIGAN_,620_S_MICHIGAN_AVE,"3",620 South MICHIGAN ,620 S MICHIGAN AVE,"Chicago, IL","620 S MICHIGAN AVE, Chicago, IL","1", Cap and Gown,,,"1935", Vol. 39,"-87.6246832","41.873712","620 s michigan ave, chicago, il 60605, usa"
