Search_and_address,old_search,old_addr,search,addr,city_state,full,Quantity,Publication,Month,Day,Year,Edition,lon,lat,geoAddress
5532_South_SHORE_@5532_S_SHORE_DR@.html,5532_South_SHORE_,5532_S_SHORE_DR,5532 South SHORE ,5532 S SHORE DR,"Chicago, IL","5532 S SHORE DR, Chicago, IL","1", Cap and Gown,,,"1955", Vol. 48,"-87.5809544","41.7943671","5532 s shore dr, chicago, il 60637, usa"
5424_South_KIMBARK_@5424_S_KIMBARK_AVE@.html,5424_South_KIMBARK_,5424_S_KIMBARK_AVE,5424 South KIMBARK ,5424 S KIMBARK AVE,"Chicago, IL","5424 S KIMBARK AVE, Chicago, IL","1", Cap and Gown,,,"1965", Vol. 58,"-87.595199","41.7971671","5424 s kimbark ave, chicago, il 60615, usa"
5630_South_KENWOOD_@5630_S_KENWOOD_AVE@.html,5630_South_KENWOOD_,5630_S_KENWOOD_AVE,5630 South KENWOOD ,5630 S KENWOOD AVE,"Chicago, IL","5630 S KENWOOD AVE, Chicago, IL","1", Cap and Gown,,,"1955", Vol. 48,"-87.593693","41.792309","5630 s kenwood ave, chicago, il 60637, usa"
5625_South_WOODLAWN_@5625_S_WOODLAWN_AVE@.html,5625_South_WOODLAWN_,5625_S_WOODLAWN_AVE,5625 South WOODLAWN ,5625 S WOODLAWN AVE,"Chicago, IL","5625 S WOODLAWN AVE, Chicago, IL","1", Cap and Gown,,,"1953", Vol. 46,"-87.5960379","41.792491","5625 s woodlawn ave, chicago, il 60637, usa"
5720_South_WOODLAWN_@5720_S_WOODLAWN_AVE@.html,5720_South_WOODLAWN_,5720_S_WOODLAWN_AVE,5720 South WOODLAWN ,5720 S WOODLAWN AVE,"Chicago, IL","5720 S WOODLAWN AVE, Chicago, IL","1", Cap and Gown,,,"1964", Vol. 57,"-87.5968504","41.7907467","concert office, 5720 s woodlawn ave, chicago, il 60637, usa"
5720_South_WOODLAWN_@5720_S_WOODLAWN_AVE@.html,5720_South_WOODLAWN_,5720_S_WOODLAWN_AVE,5720 South WOODLAWN ,5720 S WOODLAWN AVE,"Chicago, IL","5720 S WOODLAWN AVE, Chicago, IL","1", Cap and Gown,,,"1967", Vol. 60,"-87.5968504","41.7907467","concert office, 5720 s woodlawn ave, chicago, il 60637, usa"
5720_South_WOODLAWN_@5720_S_WOODLAWN_AVE@.html,5720_South_WOODLAWN_,5720_S_WOODLAWN_AVE,5720 South WOODLAWN ,5720 S WOODLAWN AVE,"Chicago, IL","5720 S WOODLAWN AVE, Chicago, IL","1", Cap and Gown,,,"1965", Vol. 58,"-87.5968504","41.7907467","concert office, 5720 s woodlawn ave, chicago, il 60637, usa"
5720_South_WOODLAWN_@5720_S_WOODLAWN_AVE@.html,5720_South_WOODLAWN_,5720_S_WOODLAWN_AVE,5720 South WOODLAWN ,5720 S WOODLAWN AVE,"Chicago, IL","5720 S WOODLAWN AVE, Chicago, IL","1", Cap and Gown,,,"1963", Vol. 56,"-87.5968504","41.7907467","concert office, 5720 s woodlawn ave, chicago, il 60637, usa"
5720_South_WOODLAWN_@5720_S_WOODLAWN_AVE@.html,5720_South_WOODLAWN_,5720_S_WOODLAWN_AVE,5720 South WOODLAWN ,5720 S WOODLAWN AVE,"Chicago, IL","5720 S WOODLAWN AVE, Chicago, IL","1", Cap and Gown,,,"1966", Vol. 59,"-87.5968504","41.7907467","concert office, 5720 s woodlawn ave, chicago, il 60637, usa"
5720_South_WOODLAWN_@5720_S_WOODLAWN_AVE@.html,5720_South_WOODLAWN_,5720_S_WOODLAWN_AVE,5720 South WOODLAWN ,5720 S WOODLAWN AVE,"Chicago, IL","5720 S WOODLAWN AVE, Chicago, IL","1", Cap and Gown,,,"1961", Vol. 54,"-87.5968504","41.7907467","concert office, 5720 s woodlawn ave, chicago, il 60637, usa"
5720_South_WOODLAWN_@5720_S_WOODLAWN_AVE@.html,5720_South_WOODLAWN_,5720_S_WOODLAWN_AVE,5720 South WOODLAWN ,5720 S WOODLAWN AVE,"Chicago, IL","5720 S WOODLAWN AVE, Chicago, IL","1", Cap and Gown,,,"1962", Vol. 55,"-87.5968504","41.7907467","concert office, 5720 s woodlawn ave, chicago, il 60637, usa"
5848_South_UNIVERSITY_@5848_S_UNIVERSITY_AVE@.html,5848_South_UNIVERSITY_,5848_S_UNIVERSITY_AVE,5848 South UNIVERSITY ,5848 S UNIVERSITY AVE,"Chicago, IL","5848 S UNIVERSITY AVE, Chicago, IL","1", Cap and Gown,,,"1967", Vol. 60,"-87.598276","41.788274","5848 s university ave, chicago, il 60637, usa"
5848_South_UNIVERSITY_@5848_S_UNIVERSITY_AVE@.html,5848_South_UNIVERSITY_,5848_S_UNIVERSITY_AVE,5848 South UNIVERSITY ,5848 S UNIVERSITY AVE,"Chicago, IL","5848 S UNIVERSITY AVE, Chicago, IL","1", Cap and Gown,,,"1965", Vol. 58,"-87.598276","41.788274","5848 s university ave, chicago, il 60637, usa"
5848_South_UNIVERSITY_@5848_S_UNIVERSITY_AVE@.html,5848_South_UNIVERSITY_,5848_S_UNIVERSITY_AVE,5848 South UNIVERSITY ,5848 S UNIVERSITY AVE,"Chicago, IL","5848 S UNIVERSITY AVE, Chicago, IL","1", Cap and Gown,,,"1966", Vol. 59,"-87.598276","41.788274","5848 s university ave, chicago, il 60637, usa"
5528_South_ELLIS_@5528_S_ELLIS_AVE@.html,5528_South_ELLIS_,5528_S_ELLIS_AVE,5528 South ELLIS ,5528 S ELLIS AVE,"Chicago, IL","5528 S ELLIS AVE, Chicago, IL","1", Cap and Gown,,,"1955", Vol. 48,"-87.6019368","41.7944646","5528 s ellis ave, chicago, il 60637, usa"
6639_South_VERNON_@6639_S_VERNON_AVE@.html,6639_South_VERNON_,6639_S_VERNON_AVE,6639 South VERNON ,6639 S VERNON AVE,"Chicago, IL","6639 S VERNON AVE, Chicago, IL","1", Cap and Gown,,,"1963", Vol. 56,"-87.6140839","41.7736115","6639 s vernon ave, chicago, il 60637, usa"
6639_South_VERNON_@6639_S_VERNON_AVE@.html,6639_South_VERNON_,6639_S_VERNON_AVE,6639 South VERNON ,6639 S VERNON AVE,"Chicago, IL","6639 S VERNON AVE, Chicago, IL","1", Cap and Gown,,,"1962", Vol. 55,"-87.6140839","41.7736115","6639 s vernon ave, chicago, il 60637, usa"
8524_South_EUCLID_@8524_S_EUCLID_AVE@.html,8524_South_EUCLID_,8524_S_EUCLID_AVE,8524 South EUCLID ,8524 S EUCLID AVE,"Chicago, IL","8524 S EUCLID AVE, Chicago, IL","1", Cap and Gown,,,"1955", Vol. 48,"-87.5772566","41.7399935","8524 s euclid ave, chicago, il 60617, usa"
12655_South_DOTY_@12655_S_DOTY_AVE@.html,12655_South_DOTY_,12655_S_DOTY_AVE,12655 South DOTY ,12655 S DOTY AVE,"Chicago, IL","12655 S DOTY AVE, Chicago, IL","1", Cap and Gown,,,"1967", Vol. 60,"-87.5903213","41.6639746","12655 s doty ave, chicago, il 60633, usa"
12655_South_DOTY_@12655_S_DOTY_AVE@.html,12655_South_DOTY_,12655_S_DOTY_AVE,12655 South DOTY ,12655 S DOTY AVE,"Chicago, IL","12655 S DOTY AVE, Chicago, IL","1", Cap and Gown,,,"1966", Vol. 59,"-87.5903213","41.6639746","12655 s doty ave, chicago, il 60633, usa"
6926_South_CLYDE_@6926_S_CLYDE_AVE@.html,6926_South_CLYDE_,6926_S_CLYDE_AVE,6926 South CLYDE ,6926 S CLYDE AVE,"Chicago, IL","6926 S CLYDE AVE, Chicago, IL","1", Cap and Gown,,,"1955", Vol. 48,"-87.5743195","41.7690041","6926 s clyde ave, chicago, il 60649, usa"
5539_S._HARPER_@5539_S_HARPER_AVE@.html,5539_S._HARPER_,5539_S_HARPER_AVE,5539 S. HARPER ,5539 S HARPER AVE,"Chicago, IL","5539 S HARPER AVE, Chicago, IL","1", Daily Maroon,November,"5","1974",,"-87.5882234","41.7940041","5539 s harper ave, chicago, il 60637, usa"
5118_S._BLACKSTONE_@5118_S_BLACKSTONE_AVE@.html,5118_S._BLACKSTONE_,5118_S_BLACKSTONE_AVE,5118 S. BLACKSTONE ,5118 S BLACKSTONE AVE,"Chicago, IL","5118 S BLACKSTONE AVE, Chicago, IL","1", Daily Maroon,July,"27","1984",,"-87.5908037","41.8018483","5118 s blackstone ave, chicago, il 60615, usa"
