search_and_address,old_search,old_addr,page,search,addr,city_state,full,quantity,publication,month,day,year,edition,lon,lat,geoAddress
page_3_@5500_South_SHORE_@5500_S_SHORE_DR@.html,5500_South_SHORE_,5500_S_SHORE_DR,3,5500 South SHORE ,5500 S SHORE DR,"Chicago, IL","5500 S SHORE DR, Chicago, IL",1, Medicine on the Midway,April,,1964," Vol. 20,  No. 1",-87.5809429,41.7946724,"5500 s shore dr, chicago, il 60637, usa"
page_5_@5454_South_SHORE_@5454_S_SHORE_DR@.html,5454_South_SHORE_,5454_S_SHORE_DR,5,5454 South SHORE ,5454 S SHORE DR,"Chicago, IL","5454 S SHORE DR, Chicago, IL",1, Cap and Gown,,,1953, Vol. 46,-87.5816728,41.7964405,"5454 s shore dr, chicago, il 60615, usa"
page_2_@5424_South_KIMBARK_@5424_S_KIMBARK_AVE@.html,5424_South_KIMBARK_,5424_S_KIMBARK_AVE,2,5424 South KIMBARK ,5424 S KIMBARK AVE,"Chicago, IL","5424 S KIMBARK AVE, Chicago, IL",1, Cap and Gown,,,1964, Vol. 57,-87.595199,41.7971671,"5424 s kimbark ave, chicago, il 60615, usa"
page_3_@5500_South_SHORE_@5500_S_SHORE_DR@.html,5500_South_SHORE_,5500_S_SHORE_DR,3,5500 South SHORE ,5500 S SHORE DR,"Chicago, IL","5500 S SHORE DR, Chicago, IL",1, Daily Maroon,November,17,1981,,-87.5809429,41.7946724,"5500 s shore dr, chicago, il 60637, usa"
page_3_@5500_South_SHORE_@5500_S_SHORE_DR@.html,5500_South_SHORE_,5500_S_SHORE_DR,3,5500 South SHORE ,5500 S SHORE DR,"Chicago, IL","5500 S SHORE DR, Chicago, IL",1, Daily Maroon,August,1,1986,,-87.5809429,41.7946724,"5500 s shore dr, chicago, il 60637, usa"
page_3_@5500_South_SHORE_@5500_S_SHORE_DR@.html,5500_South_SHORE_,5500_S_SHORE_DR,3,5500 South SHORE ,5500 S SHORE DR,"Chicago, IL","5500 S SHORE DR, Chicago, IL",1, Daily Maroon,April,20,1973,,-87.5809429,41.7946724,"5500 s shore dr, chicago, il 60637, usa"
page_3_@5500_South_SHORE_@5500_S_SHORE_DR@.html,5500_South_SHORE_,5500_S_SHORE_DR,3,5500 South SHORE ,5500 S SHORE DR,"Chicago, IL","5500 S SHORE DR, Chicago, IL",1, Daily Maroon,January,8,1982,,-87.5809429,41.7946724,"5500 s shore dr, chicago, il 60637, usa"
page_3_@5500_South_SHORE_@5500_S_SHORE_DR@.html,5500_South_SHORE_,5500_S_SHORE_DR,3,5500 South SHORE ,5500 S SHORE DR,"Chicago, IL","5500 S SHORE DR, Chicago, IL",1, Daily Maroon,May,19,1981,,-87.5809429,41.7946724,"5500 s shore dr, chicago, il 60637, usa"
page_3_@5500_South_SHORE_@5500_S_SHORE_DR@.html,5500_South_SHORE_,5500_S_SHORE_DR,3,5500 South SHORE ,5500 S SHORE DR,"Chicago, IL","5500 S SHORE DR, Chicago, IL",1, Daily Maroon,October,12,1973,,-87.5809429,41.7946724,"5500 s shore dr, chicago, il 60637, usa"
page_3_@5500_South_SHORE_@5500_S_SHORE_DR@.html,5500_South_SHORE_,5500_S_SHORE_DR,3,5500 South SHORE ,5500 S SHORE DR,"Chicago, IL","5500 S SHORE DR, Chicago, IL",1, Daily Maroon,July,11,1986,,-87.5809429,41.7946724,"5500 s shore dr, chicago, il 60637, usa"
