,State,Date,Count
0,AK,2015-02-08,1
1,AK,2015-09-08,1
2,AK,2015-09-09,3
3,AK,2015-10-24,1
4,AL,2015-01-27,1
5,AL,2015-02-08,1
6,AL,2015-02-11,1
7,AL,2015-02-18,1
8,AL,2015-02-20,2
9,AL,2015-02-23,1
10,AL,2015-03-10,1
11,AL,2015-03-11,2
12,AL,2015-03-19,1
13,AL,2015-04-12,1
14,AL,2015-05-19,1
15,AL,2015-05-25,2
16,AL,2015-06-17,2
17,AL,2015-06-19,1
18,AL,2015-07-02,1
19,AL,2015-07-16,1
20,AL,2015-08-20,1
21,AL,2015-08-23,1
22,AL,2015-09-12,2
23,AL,2015-09-18,1
24,AL,2015-09-19,1
25,AL,2015-10-04,2
26,AL,2015-10-14,2
27,AL,2015-10-31,1
28,AR,2015-01-08,1
29,AR,2015-01-09,1
30,AR,2015-04-14,1
31,AR,2015-05-19,1
32,AR,2015-07-28,1
33,AZ,2015-01-05,1
34,AZ,2015-01-15,1
35,AZ,2015-01-18,2
36,AZ,2015-01-20,1
37,AZ,2015-01-26,1
38,AZ,2015-01-27,3
39,AZ,2015-02-04,2
40,AZ,2015-02-13,1
41,AZ,2015-02-16,2
42,AZ,2015-02-28,3
43,AZ,2015-03-03,1
44,AZ,2015-03-07,2
45,AZ,2015-03-11,1
46,AZ,2015-03-18,1
47,AZ,2015-03-19,1
48,AZ,2015-03-20,1
49,AZ,2015-03-21,1
50,AZ,2015-03-24,1
51,AZ,2015-03-25,1
52,AZ,2015-04-05,1
53,AZ,2015-04-18,1
54,AZ,2015-04-22,1
55,AZ,2015-04-29,1
56,AZ,2015-05-08,1
57,AZ,2015-05-12,1
58,AZ,2015-05-23,1
59,AZ,2015-05-30,1
60,AZ,2015-06-08,1
61,AZ,2015-07-06,1
62,AZ,2015-07-07,1
63,AZ,2015-07-09,1
64,AZ,2015-07-18,1
65,AZ,2015-08-01,2
66,AZ,2015-08-10,1
67,AZ,2015-08-21,1
68,AZ,2015-08-25,2
69,AZ,2015-08-30,2
70,AZ,2015-09-02,2
71,AZ,2015-09-25,1
72,AZ,2015-10-02,2
73,AZ,2015-11-25,1
74,AZ,2015-11-29,1
75,AZ,2015-12-03,1
76,AZ,2015-12-04,1
77,AZ,2015-12-11,1
78,AZ,2015-12-26,1
79,AZ,2015-12-27,1
80,CA,2015-01-04,1
81,CA,2015-01-06,3
82,CA,2015-01-11,2
83,CA,2015-01-15,1
84,CA,2015-01-16,1
85,CA,2015-01-17,1
86,CA,2015-01-21,1
87,CA,2015-01-26,1
88,CA,2015-01-28,1
89,CA,2015-02-02,1
90,CA,2015-02-03,3
91,CA,2015-02-04,1
92,CA,2015-02-05,2
93,CA,2015-02-07,1
94,CA,2015-02-11,1
95,CA,2015-02-13,1
96,CA,2015-02-20,1
97,CA,2015-02-26,1
98,CA,2015-02-27,2
99,CA,2015-03-01,2
100,CA,2015-03-04,1
101,CA,2015-03-05,1
102,CA,2015-03-08,1
103,CA,2015-03-10,2
104,CA,2015-03-11,2
105,CA,2015-03-12,1
106,CA,2015-03-13,4
107,CA,2015-03-17,4
108,CA,2015-03-18,1
109,CA,2015-03-19,2
110,CA,2015-03-21,1
111,CA,2015-03-22,2
112,CA,2015-03-23,1
113,CA,2015-03-24,1
114,CA,2015-03-25,2
115,CA,2015-03-26,1
116,CA,2015-03-27,3
117,CA,2015-03-28,1
118,CA,2015-03-29,1
119,CA,2015-04-01,1
120,CA,2015-04-04,2
121,CA,2015-04-05,2
122,CA,2015-04-08,3
123,CA,2015-04-10,2
124,CA,2015-04-15,1
125,CA,2015-04-16,1
126,CA,2015-04-17,1
127,CA,2015-04-21,2
128,CA,2015-04-23,4
129,CA,2015-04-24,1
130,CA,2015-04-26,4
131,CA,2015-04-29,2
132,CA,2015-04-30,2
133,CA,2015-05-05,3
134,CA,2015-05-07,1
135,CA,2015-05-12,1
136,CA,2015-05-15,2
137,CA,2015-05-17,2
138,CA,2015-05-27,3
139,CA,2015-06-03,2
140,CA,2015-06-05,1
141,CA,2015-06-06,2
142,CA,2015-06-08,1
143,CA,2015-06-14,1
